dataset,target,A_buyer_only,B_seller_only,C_diff_b_minus_s,D_combined_ridge,D_combined_lasso
heddaya,M1,0.3889,0.5185,0.4074,0.5,0.5694
heddaya,M2,0.4222,0.7,0.4667,0.4444,0.5333
heddaya,M3,0.4609,0.3826,0.5304,0.387,0.4565
heddaya,M4,0.4449,0.489,0.4301,0.4669,0.4118
heddaya,M5,0.687,0.5435,0.3087,0.7391,0.7739
a2a,M1,0.7778,0.6111,0.6111,0.7222,0.3333
a2a,M2,0.6,0.7,0.75,0.7,0.85
a2a,M3,0.125,1.0,0.375,0.25,0.75
a2a,M4,0.5,0.6667,0.6111,0.6667,0.5
a2a,M5,,,,,
