dataset,deal_quality_quartile,time_bin,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
heddaya,Q1_closer_to_buyer_anchor,0,0.08245434037277456,0.002231117437919075,0.0017849451486705201,0.006216750216763006,0.17169945416069363,0.02343985468537572,0.02306408482017341,0.08018192503433526,0.031457902398612715,0.003739205562485549,0.011934160087283237,0.0013406518819075145,0.0010132570346242775,0.01756027474028902,0.0014611991826011562,0.020224297437341037,0.0006872072509826589,0.010302043832023123,0.02635815288398844,0.0013048959757225435,0.016526128171098265,0.0011568539592312138,0.014632664390751445,0.0024830168073410406,0.024201354634450868,0.009329148339132948,0.003159644050404624
heddaya,Q1_closer_to_buyer_anchor,1,0.11300641560917721,0.0026266174253164556,0.0019623014734177213,0.009614625758860759,0.1566599511227848,0.0038153243681012658,0.03485958234234177,0.06215940073518987,0.030165959432658228,0.010086868236012658,0.033579173014556964,0.0037221516491772154,0.0009171018794303798,0.021254849785822785,0.0013284179941139241,0.012356318670253164,0.00044609938063291146,0.01025353406278481,0.018014102103797468,0.0007470083093670885,0.014326834516455696,0.000989840963335443,0.017858150681012656,0.0014573246539240506,0.010361482199303797,0.00460797161221519,0.0032977737532911395
heddaya,Q1_closer_to_buyer_anchor,2,0.11114339958979591,0.0019431181679591834,0.0018560792816326532,0.008345281951700681,0.17720610240408163,0.004743927002857143,0.050503293778911565,0.06020252173136055,0.020299679132040817,0.008774515045986394,0.0456867508047619,0.0015883982746938777,0.000863540616122449,0.01177943375510204,0.013905858714217687,0.016755709382721088,0.000517684914829932,0.0046739201058503405,0.037828155797142854,0.0039146694984353745,0.014874684325170067,0.0011220556082108845,0.028134782309523806,0.0014560331788435372,0.005733644774217687,0.004557977540748299,0.002971702209931973
heddaya,Q1_closer_to_buyer_anchor,3,0.06477624123159235,0.006323755090000001,0.002060250338152866,0.010602663750318472,0.14719940341401275,0.004266414635286624,0.022940693795286623,0.031345607627388535,0.01581940450541401,0.00713231345687898,0.04154070948598726,0.0015741801588535032,0.0010462280300636941,0.010714698897515923,0.006929953254267516,0.014246612076178345,0.0004969603984076433,0.01689986597490446,0.021239673545923567,0.0014414295232484076,0.022837485510828023,0.0010447510488853502,0.020212069949044585,0.0017693200185350318,0.017326250019299362,0.00685506762178344,0.002941940012165605
heddaya,Q1_closer_to_buyer_anchor,4,0.072667676788125,0.00757477037,0.0017813942014375,0.01040638421,0.13822985707,0.0113894346421875,0.0264296622836875,0.050394823037437496,0.0224171524279375,0.013584772682312498,0.03036030907625,0.0016267785921875,0.00109867179875,0.009924919587875,0.0016541296881875,0.002200519903375,0.00044620645306249994,0.012197670926375,0.0199081562834375,0.001395463248125,0.038281356265625,0.0009317475360875,0.023688127178749997,0.0013243159803125,0.00887156328085,0.00499985112725,0.00648161858875
heddaya,Q1_closer_to_buyer_anchor,5,0.04663195761241611,0.0016838871818791947,0.0020489330675838927,0.010820502261073825,0.10583700228523489,0.0056478262875167785,0.03511884301080537,0.062114420473557044,0.021862005278590602,0.017584825004362415,0.051854711960402686,0.0016684183732885906,0.0011730861322147652,0.005912342970939597,0.0014615681397986578,0.003380403334832215,0.0005581233145637584,0.0058341161693288585,0.02002848098248322,0.0010618741280872483,0.01568189480738255,0.00077734342,0.018452219422147653,0.0010202112344966444,0.026425626322926173,0.009895565847651007,0.0028639024679194634
heddaya,Q1_closer_to_buyer_anchor,6,0.03886085856251655,0.0016195256692052979,0.0022924173416556293,0.010272666701324503,0.12994595972913908,0.011586682753377483,0.03566811857397351,0.0570127488405298,0.016773953422384105,0.011421495300264902,0.049305393466887414,0.001541357204834437,0.0008861461651655628,0.003786733709205298,0.0067673809342384105,0.005635709751920529,0.00046218568549668876,0.002188812635695364,0.00509461183437086,0.0012306973752980132,0.019892495373907283,0.0005610668548145695,0.019785124648344372,0.0011267274902649006,0.015071743692450332,0.006483657890331126,0.002119294230728477
heddaya,Q1_closer_to_buyer_anchor,7,0.03005315248019608,0.0020318062262745097,0.002412452235947712,0.016282408904575166,0.10038919409934641,0.007439276354509804,0.033423216908300656,0.04798407216673203,0.017308215231372548,0.026500743660457512,0.04692759643006536,0.0016911394658169934,0.0011318529150980393,0.008716827539477124,0.001727861110261438,0.008546707734248366,0.0005492710528758169,0.0032747869162091502,0.01429943162869281,0.00320910598503268,0.021822981835294117,0.0006007055986732027,0.027412434445098038,0.001179319014379085,0.01108740393751634,0.007530138210915032,0.01633809093614379
heddaya,Q1_closer_to_buyer_anchor,8,0.054105237056052635,0.0016467297298684211,0.0027035390945394735,0.01145180798881579,0.1408528181756579,0.00461962064375,0.03525427925723684,0.031736113175855264,0.013968093612039476,0.00973081482743421,0.037173696154605265,0.0015740662113157896,0.0008980628130921053,0.010804362728026316,0.0011976013633552632,0.00278634723,0.0004987477411184211,0.010318697168486842,0.016021794557171055,0.0007008734887236842,0.02595392651907895,0.0007433681544013157,0.018362679742763156,0.0012233363747368422,0.013556407318815791,0.005992847542763157,0.002071536068421053
heddaya,Q1_closer_to_buyer_anchor,9,0.06471895284767441,0.0025120715310465113,0.0015920137019186046,0.007907587890697674,0.21768270375581394,0.008432213578546512,0.021528870322848837,0.02754413240401163,0.012967742179709302,0.008112076781453488,0.01594065274511628,0.0014003784804651163,0.0008899048919767443,0.01168383014133721,0.0012220613537790698,0.010331256307965116,0.0005587495010465117,0.01782062498622093,0.009343309559302326,0.0009027812187790697,0.0324353527877907,0.0012035266322674419,0.017116735556976743,0.001934535099011628,0.018622963927930232,0.01129825882761628,0.002618790516744186
