dataset,emotion,buyer_mean,seller_mean,delta_buyer_minus_seller,abs_delta,p_value,significant_p05
casino,realization,0.0124,0.01287,-0.00046,0.00046,0.3476,no
casino,relief,0.00276,0.00286,-0.00011,0.00011,0.3982,no
casino,remorse,0.01084,0.00962,0.00123,0.00123,0.3426,no
casino,sadness,0.01286,0.01338,-0.00052,0.00052,0.6073,no
casino,surprise,0.00493,0.00438,0.00055,0.00055,0.2394,no
emaad,admiration,0.14267,0.10241,0.04026,0.04026,0.0,yes
emaad,amusement,0.0017,0.00218,-0.00048,0.00048,0.0,yes
emaad,anger,0.00145,0.00203,-0.00059,0.00059,0.0002,yes
emaad,annoyance,0.00506,0.00982,-0.00475,0.00475,0.0,yes
emaad,approval,0.19315,0.21347,-0.02033,0.02033,0.0143,yes
emaad,caring,0.02838,0.02454,0.00383,0.00383,0.2083,no
emaad,confusion,0.02409,0.09938,-0.07529,0.07529,0.0,yes
emaad,curiosity,0.17629,0.23093,-0.05464,0.05464,0.0,yes
emaad,desire,0.01129,0.00686,0.00443,0.00443,0.0,yes
emaad,disappointment,0.00162,0.00574,-0.00412,0.00412,0.0,yes
emaad,disapproval,0.00899,0.03594,-0.02695,0.02695,0.0,yes
emaad,disgust,0.00072,0.00131,-0.00059,0.00059,0.0,yes
emaad,embarrassment,0.00039,0.00095,-0.00056,0.00056,0.0,yes
emaad,excitement,0.01886,0.01858,0.00028,0.00028,0.8419,no
emaad,fear,0.00086,0.00267,-0.00181,0.00181,0.0001,yes
emaad,gratitude,0.18888,0.17013,0.01875,0.01875,0.1283,no
emaad,grief,0.00046,0.00063,-0.00017,0.00017,0.0,yes
emaad,joy,0.02224,0.02478,-0.00254,0.00254,0.442,no
emaad,love,0.00733,0.0076,-0.00027,0.00027,0.8534,no
emaad,nervousness,0.00068,0.00245,-0.00177,0.00177,0.0,yes
emaad,optimism,0.02691,0.01947,0.00744,0.00744,0.0,yes
emaad,pride,0.00161,0.00147,0.00014,0.00014,0.1387,no
emaad,realization,0.0113,0.01903,-0.00772,0.00772,0.0,yes
emaad,relief,0.00335,0.00347,-0.00012,0.00012,0.5862,no
emaad,remorse,0.00088,0.00202,-0.00114,0.00114,0.0224,yes
emaad,sadness,0.00134,0.00297,-0.00163,0.00163,0.0,yes
emaad,surprise,0.00385,0.00814,-0.00429,0.00429,0.0,yes
