outcome,emotion,mean_activation,correlation_with_outcome,p_value,abs_correlation,n
outcome_binary,disapproval,0.051118097006117726,-0.4626756465409904,0.0009292973931612468,0.4626756465409904,48
outcome_binary,joy,0.009308158523812496,0.41876025242409576,0.0030540967072424626,0.41876025242409576,48
outcome_binary,admiration,0.07830087407257232,0.3332842533920892,0.02062322745127794,0.3332842533920892,48
outcome_binary,approval,0.1707814745505483,0.3013855866768014,0.03737025534144442,0.3013855866768014,48
outcome_binary,amusement,0.00506909432914078,0.286573786472926,0.048297661747861084,0.286573786472926,48
outcome_binary,love,0.012313067361542016,0.27730753015750953,0.05636406433856019,0.27730753015750953,48
outcome_binary,surprise,0.008033032864508521,0.27178512815614786,0.06166542475368485,0.27178512815614786,48
outcome_binary,annoyance,0.020519447995331303,-0.23597068784677516,0.10638602012099249,0.23597068784677516,48
outcome_binary,disappointment,0.013172090865334942,-0.23562627157133698,0.10691260073534932,0.23562627157133698,48
outcome_binary,realization,0.016421645513611017,-0.21430718444698382,0.14355475604060508,0.21430718444698382,48
outcome_binary,nervousness,0.0011221868201090463,0.19061757486542488,0.19436898679921585,0.19061757486542488,48
outcome_binary,pride,0.001097509556761485,0.1718395988824129,0.24285950470123474,0.1718395988824129,48
outcome_binary,remorse,0.014423230518426887,0.16549182843052296,0.26096621531936504,0.16549182843052296,48
outcome_binary,excitement,0.01702884641489663,0.1552786077700246,0.291950441751239,0.1552786077700246,48
outcome_binary,fear,0.0014411150903673575,0.1426187168313633,0.33354371379551956,0.1426187168313633,48
outcome_binary,caring,0.01785506076158373,-0.13755271012903741,0.3511740258464899,0.13755271012903741,48
outcome_binary,optimism,0.04362230245777618,-0.13530159940072925,0.3591879947495071,0.13530159940072925,48
outcome_binary,embarrassment,0.0013810874517015959,0.13404130211150345,0.3637227839522815,0.13404130211150345,48
outcome_binary,sadness,0.006953543783821763,0.12741320728904817,0.38813708518141044,0.12741320728904817,48
outcome_binary,curiosity,0.1688221737762515,0.11304202176620433,0.44427710859310926,0.11304202176620433,48
outcome_binary,grief,0.0006061639341860553,0.1032817170464904,0.48482300582256604,0.1032817170464904,48
outcome_binary,disgust,0.002300648950684886,-0.09966249480727983,0.5003354298618491,0.09966249480727983,48
outcome_binary,gratitude,0.04412934669784482,0.04944561460566832,0.7385731362038266,0.04944561460566832,48
outcome_binary,confusion,0.056725938320130787,-0.021406648119402114,0.8851714532563574,0.021406648119402114,48
outcome_binary,relief,0.0019277005848280064,0.017313952425133596,0.9070175220825207,0.017313952425133596,48
outcome_binary,desire,0.025679461253505103,-0.013195197103420014,0.9290715478024297,0.013195197103420014,48
outcome_binary,anger,0.00366100932859357,0.0061090347771739495,0.9671290226215271,0.0061090347771739495,48
