model,auc,n,admiration_b_mean,admiration_b_std,admiration_b_early,admiration_b_late,admiration_b_delta,admiration_s_mean,admiration_s_std,admiration_s_early,admiration_s_late,admiration_s_delta,admiration_all_mean,admiration_all_std,admiration_all_early,admiration_all_late,admiration_all_delta,admiration_diff_b_minus_s,amusement_b_mean,amusement_b_std,amusement_b_early,amusement_b_late,amusement_b_delta,amusement_s_mean,amusement_s_std,amusement_s_early,amusement_s_late,amusement_s_delta,amusement_all_mean,amusement_all_std,amusement_all_early,amusement_all_late,amusement_all_delta,amusement_diff_b_minus_s,anger_b_mean,anger_b_std,anger_b_early,anger_b_late,anger_b_delta,anger_s_mean,anger_s_std,anger_s_early,anger_s_late,anger_s_delta,anger_all_mean,anger_all_std,anger_all_early,anger_all_late,anger_all_delta,anger_diff_b_minus_s,annoyance_b_mean,annoyance_b_std,annoyance_b_early,annoyance_b_late,annoyance_b_delta,annoyance_s_mean,annoyance_s_std,annoyance_s_early,annoyance_s_late,annoyance_s_delta,annoyance_all_mean,annoyance_all_std,annoyance_all_early,annoyance_all_late,annoyance_all_delta,annoyance_diff_b_minus_s,approval_b_mean,approval_b_std,approval_b_early,approval_b_late,approval_b_delta,approval_s_mean,approval_s_std,approval_s_early,approval_s_late,approval_s_delta,approval_all_mean,approval_all_std,approval_all_early,approval_all_late,approval_all_delta,approval_diff_b_minus_s,caring_b_mean,caring_b_std,caring_b_early,caring_b_late,caring_b_delta,caring_s_mean,caring_s_std,caring_s_early,caring_s_late,caring_s_delta,caring_all_mean,caring_all_std,caring_all_early,caring_all_late,caring_all_delta,caring_diff_b_minus_s,confusion_b_mean,confusion_b_std,confusion_b_early,confusion_b_late,confusion_b_delta,confusion_s_mean,confusion_s_std,confusion_s_early,confusion_s_late,confusion_s_delta,confusion_all_mean,confusion_all_std,confusion_all_early,confusion_all_late,confusion_all_delta,confusion_diff_b_minus_s,curiosity_b_mean,curiosity_b_std,curiosity_b_early,curiosity_b_late,curiosity_b_delta,curiosity_s_mean,curiosity_s_std,curiosity_s_early,curiosity_s_late,curiosity_s_delta,curiosity_all_mean,curiosity_all_std,curiosity_all_early,curiosity_all_late,curiosity_all_delta,curiosity_diff_b_minus_s,desire_b_mean,desire_b_std,desire_b_early,desire_b_late,desire_b_delta,desire_s_mean,desire_s_std,desire_s_early,desire_s_late,desire_s_delta,desire_all_mean,desire_all_std,desire_all_early,desire_all_late,desire_all_delta,desire_diff_b_minus_s,disappointment_b_mean,disappointment_b_std,disappointment_b_early,disappointment_b_late,disappointment_b_delta,disappointment_s_mean,disappointment_s_std,disappointment_s_early,disappointment_s_late,disappointment_s_delta,disappointment_all_mean,disappointment_all_std,disappointment_all_early,disappointment_all_late,disappointment_all_delta,disappointment_diff_b_minus_s,disapproval_b_mean,disapproval_b_std,disapproval_b_early,disapproval_b_late,disapproval_b_delta,disapproval_s_mean,disapproval_s_std,disapproval_s_early,disapproval_s_late,disapproval_s_delta,disapproval_all_mean,disapproval_all_std,disapproval_all_early,disapproval_all_late,disapproval_all_delta,disapproval_diff_b_minus_s,disgust_b_mean,disgust_b_std,disgust_b_early,disgust_b_late,disgust_b_delta,disgust_s_mean,disgust_s_std,disgust_s_early,disgust_s_late,disgust_s_delta,disgust_all_mean,disgust_all_std,disgust_all_early,disgust_all_late,disgust_all_delta,disgust_diff_b_minus_s,embarrassment_b_mean,embarrassment_b_std,embarrassment_b_early,embarrassment_b_late,embarrassment_b_delta,embarrassment_s_mean,embarrassment_s_std,embarrassment_s_early,embarrassment_s_late,embarrassment_s_delta,embarrassment_all_mean,embarrassment_all_std,embarrassment_all_early,embarrassment_all_late,embarrassment_all_delta,embarrassment_diff_b_minus_s,excitement_b_mean,excitement_b_std,excitement_b_early,excitement_b_late,excitement_b_delta,excitement_s_mean,excitement_s_std,excitement_s_early,excitement_s_late,excitement_s_delta,excitement_all_mean,excitement_all_std,excitement_all_early,excitement_all_late,excitement_all_delta,excitement_diff_b_minus_s,fear_b_mean,fear_b_std,fear_b_early,fear_b_late,fear_b_delta,fear_s_mean,fear_s_std,fear_s_early,fear_s_late,fear_s_delta,fear_all_mean,fear_all_std,fear_all_early,fear_all_late,fear_all_delta,fear_diff_b_minus_s,gratitude_b_mean,gratitude_b_std,gratitude_b_early,gratitude_b_late,gratitude_b_delta,gratitude_s_mean,gratitude_s_std,gratitude_s_early,gratitude_s_late,gratitude_s_delta,gratitude_all_mean,gratitude_all_std,gratitude_all_early,gratitude_all_late,gratitude_all_delta,gratitude_diff_b_minus_s,grief_b_mean,grief_b_std,grief_b_early,grief_b_late,grief_b_delta,grief_s_mean,grief_s_std,grief_s_early,grief_s_late,grief_s_delta,grief_all_mean,grief_all_std,grief_all_early,grief_all_late,grief_all_delta,grief_diff_b_minus_s,joy_b_mean,joy_b_std,joy_b_early,joy_b_late,joy_b_delta,joy_s_mean,joy_s_std,joy_s_early,joy_s_late,joy_s_delta,joy_all_mean,joy_all_std,joy_all_early,joy_all_late,joy_all_delta,joy_diff_b_minus_s,love_b_mean,love_b_std,love_b_early,love_b_late,love_b_delta,love_s_mean,love_s_std,love_s_early,love_s_late,love_s_delta,love_all_mean,love_all_std,love_all_early,love_all_late,love_all_delta,love_diff_b_minus_s,nervousness_b_mean,nervousness_b_std,nervousness_b_early,nervousness_b_late,nervousness_b_delta,nervousness_s_mean,nervousness_s_std,nervousness_s_early,nervousness_s_late,nervousness_s_delta,nervousness_all_mean,nervousness_all_std,nervousness_all_early,nervousness_all_late,nervousness_all_delta,nervousness_diff_b_minus_s,optimism_b_mean,optimism_b_std,optimism_b_early,optimism_b_late,optimism_b_delta,optimism_s_mean,optimism_s_std,optimism_s_early,optimism_s_late,optimism_s_delta,optimism_all_mean,optimism_all_std,optimism_all_early,optimism_all_late,optimism_all_delta,optimism_diff_b_minus_s,pride_b_mean,pride_b_std,pride_b_early,pride_b_late,pride_b_delta,pride_s_mean,pride_s_std,pride_s_early,pride_s_late,pride_s_delta,pride_all_mean,pride_all_std,pride_all_early,pride_all_late,pride_all_delta,pride_diff_b_minus_s,realization_b_mean,realization_b_std,realization_b_early,realization_b_late,realization_b_delta,realization_s_mean,realization_s_std,realization_s_early,realization_s_late,realization_s_delta,realization_all_mean,realization_all_std,realization_all_early,realization_all_late,realization_all_delta,realization_diff_b_minus_s,relief_b_mean,relief_b_std,relief_b_early,relief_b_late,relief_b_delta,relief_s_mean,relief_s_std,relief_s_early,relief_s_late,relief_s_delta,relief_all_mean,relief_all_std,relief_all_early,relief_all_late,relief_all_delta,relief_diff_b_minus_s,remorse_b_mean,remorse_b_std,remorse_b_early,remorse_b_late,remorse_b_delta,remorse_s_mean,remorse_s_std,remorse_s_early,remorse_s_late,remorse_s_delta,remorse_all_mean,remorse_all_std,remorse_all_early,remorse_all_late,remorse_all_delta,remorse_diff_b_minus_s,sadness_b_mean,sadness_b_std,sadness_b_early,sadness_b_late,sadness_b_delta,sadness_s_mean,sadness_s_std,sadness_s_early,sadness_s_late,sadness_s_delta,sadness_all_mean,sadness_all_std,sadness_all_early,sadness_all_late,sadness_all_delta,sadness_diff_b_minus_s,surprise_b_mean,surprise_b_std,surprise_b_early,surprise_b_late,surprise_b_delta,surprise_s_mean,surprise_s_std,surprise_s_early,surprise_s_late,surprise_s_delta,surprise_all_mean,surprise_all_std,surprise_all_early,surprise_all_late,surprise_all_delta,surprise_diff_b_minus_s
Logistic_L2,0.9918,200,0.19491,0.08328,0.28032,0.2927,0.01119,0.02797,-0.04177,0.04022,0.11576,0.07557,0.18057,0.08622,0.27212,0.02843,-0.16576,0.12779,0.03301,0.07947,0.05658,0.05393,0.02649,0.171,0.07844,0.05047,0.20458,0.0592,0.15281,0.0914,0.1411,0.17737,0.02479,-0.12416,-0.08023,-0.0712,0.0085,-0.01448,-0.0166,-0.04635,-0.05524,0.04145,-0.06492,-0.07433,-0.0902,-0.08547,0.04079,-0.03605,-0.05264,-0.06611,-0.07314,-0.05533,-0.02527,-0.14558,-0.10643,-0.07569,-0.03212,-0.15383,-0.06578,-0.03328,-0.09898,-0.05644,-0.14805,-0.08033,-0.04336,0.04695,-0.3091,-0.1691,0.04026,-0.24703,-0.21678,0.08487,0.1661,0.0353,-0.02406,-0.04107,-0.1529,0.03209,-0.16392,-0.30693,-0.16557,-0.23169,-0.16125,-0.17052,-0.00135,-0.03882,-0.03777,0.0002,0.07361,-0.07185,0.04292,0.08254,-0.1312,-0.09434,-0.0994,-0.07719,-0.0059,-0.11592,0.0751,0.09918,0.03833,0.10975,0.06744,-0.04699,-0.00752,-0.03802,-0.0514,0.01768,-0.03385,-0.00977,-0.01941,0.06838,0.04631,0.0596,-0.0436,-0.14312,-0.0425,-0.04251,0.00015,0.22302,0.00393,0.11426,0.0033,-0.10679,0.18208,-0.0113,0.17213,0.11289,-0.05771,-0.16929,0.02995,0.06772,-0.01477,-0.0969,-0.02852,-0.0475,0.01954,0.00472,-0.0001,-0.00136,-0.0047,0.06318,-0.00903,-0.03155,-0.01117,0.05259,0.01477,0.02498,0.18279,-0.13182,-0.18122,-0.06818,-0.04069,-0.07442,-0.02896,-0.01004,-0.06809,-0.04234,-0.04708,-0.06662,-0.05344,0.06914,0.03155,0.06237,0.06948,-0.12806,-0.13633,-0.18596,-0.19383,0.03103,-0.10115,-0.10875,-0.1671,-0.14039,-0.00341,-0.1321,-0.12245,0.18446,-0.02455,-0.03314,0.05986,-0.10264,-0.12331,-0.07011,0.04728,0.0507,-0.04993,-0.06701,-0.06548,-0.02611,0.07959,-0.03612,-0.07394,0.05305,0.06314,0.12627,0.07025,0.19401,0.06545,-0.14413,-0.09329,-0.02989,-0.02899,-0.00245,-0.12325,-0.09387,-0.001,0.00341,0.00315,0.15189,0.11233,0.0989,-0.04325,0.22237,0.18395,0.17638,0.14762,0.06463,0.2253,0.0306,0.19297,0.12317,0.06101,0.30797,0.11855,-0.07335,-0.12114,-0.07592,0.00343,-0.12411,-0.10975,0.05139,0.07612,0.01809,0.02324,-0.01617,0.05794,0.07951,0.01713,-0.0399,-0.02157,-0.05579,0.02223,0.09823,-0.08371,0.20389,0.20324,-0.17727,-0.07314,0.01536,-0.15858,-0.13436,-0.1168,-0.0534,-0.02918,0.04548,0.05477,0.14078,-0.01921,0.03376,0.0601,0.06751,0.03438,-0.09357,0.0969,0.02332,0.0066,-0.01328,-0.08769,0.0928,0.02538,0.00519,-0.01382,0.08309,0.0876,0.12965,0.02783,0.08302,0.04914,-0.19091,-0.17839,-0.0479,-0.09368,0.01585,-0.12193,-0.07513,0.04637,0.04109,-0.01195,0.19807,-0.05024,-0.01512,0.01081,-0.18174,-0.06912,0.06725,0.08864,-0.03276,0.04123,0.04781,-0.00703,0.04485,0.01117,-0.12071,-0.06216,-0.07819,-0.06617,0.03533,-0.04289,0.01725,0.04118,-0.05899,-0.02671,-0.01451,0.00783,0.01593,-0.05236,-0.02146,-0.02036,0.00838,0.02196,0.05566,-0.07238,-0.01863,-0.071,-0.08254,0.03313,-0.10079,-0.00876,0.1018,-0.08811,-0.10614,-0.11164,-0.04782,-0.07233,-0.16824,-0.04875,0.0019,0.02098,0.10109,0.09717,0.27939,0.13238,-0.15165,-0.12256,-0.04695,-0.05792,0.0028,-0.11564,-0.01538,0.0035,-0.0451,-0.03178,0.12756,0.0079,0.05982,0.09357,-0.07186,-0.11261,-0.17412,-0.05278,0.05925,-0.00201,-0.05372,-0.1263,-0.03212,0.06864,-0.07106,-0.09356,0.16013,-0.06659,0.0083,-0.03914,0.15401,0.13842,-0.1942,-0.1136,-0.02653,-0.3002,-0.10368,-0.1972,-0.05666,-0.02528,-0.08125,-0.02383,0.12135,-0.09758,-0.05101,-0.00502,-0.05538,-0.04589,-0.00529,0.02072,0.06773,0.00516,-0.00054,-0.01038,0.01779,0.02319,-0.00029,-0.00256,0.00086,-0.02753,0.00633,0.11459,-0.05668,-0.09914,-0.0259,0.00629,-0.01888,0.01245,0.01719,-0.03288,0.00125,-0.01725,0.00109,0.00614,0.02368,-0.02491,-0.0293,0.145,0.19339,0.00047,0.06778,0.04325,0.00384,0.02693,0.02128,0.03695,-0.00372,0.03764,0.06536,0.02211,-0.06819
Ridge_logit,0.9932,200,0.10677,0.05698,0.15312,0.14965,-0.00153,0.01562,-0.00763,0.01871,0.0513,0.03302,0.09912,0.05686,0.13749,0.03453,-0.06789,0.06982,0.01916,0.04419,0.01503,0.04047,0.03052,0.09727,0.03737,0.04112,0.12095,0.02517,0.08749,0.0467,0.07832,0.10991,0.02189,-0.0704,-0.04608,-0.04099,-0.00271,-0.02272,-0.01452,-0.03441,-0.03919,0.01096,-0.03512,-0.03488,-0.05307,-0.04916,0.00931,-0.02772,-0.02884,-0.03612,-0.04586,-0.03216,-0.02265,-0.09515,-0.06575,-0.0559,-0.02986,-0.08228,-0.0398,-0.02235,-0.06963,-0.0433,-0.08353,-0.05214,-0.03121,0.03743,-0.16783,-0.09747,0.03139,-0.15577,-0.13929,0.04694,0.10316,0.02565,0.00819,-0.00686,-0.08186,0.01934,-0.05642,-0.15948,-0.10321,-0.12644,-0.08395,-0.08389,-0.0052,-0.03447,-0.03233,-0.01579,0.02328,-0.04873,0.0123,0.04602,-0.07758,-0.05281,-0.06359,-0.05337,-0.00717,-0.04951,0.02966,0.04701,0.01914,0.05775,0.0361,-0.02947,-0.02093,-0.01934,-0.03015,0.00759,-0.02409,-0.02182,-0.00803,0.02982,0.01979,0.0338,-0.03221,-0.06846,-0.01807,-0.01048,0.00562,0.14561,0.04282,0.06586,0.01371,-0.05662,0.11925,0.02972,0.09623,0.06545,-0.03074,-0.11231,0.01087,0.03398,-0.00536,-0.05018,-0.01674,-0.02038,0.0123,0.00338,-0.00312,-0.00393,-0.00388,0.03161,-0.00929,-0.02109,-0.00495,0.02115,-0.00341,0.00465,0.09474,-0.06678,-0.09249,-0.04346,-0.02713,-0.04971,-0.02613,-0.01337,-0.04404,-0.02835,-0.03735,-0.04611,-0.03578,0.04323,0.02417,0.04203,0.05805,-0.06922,-0.07695,-0.11699,-0.12063,0.0041,-0.06604,-0.0641,-0.10534,-0.09193,-0.01151,-0.08411,-0.07391,0.11687,-0.03257,-0.0268,0.02283,-0.06045,-0.06283,-0.04199,0.01191,0.03235,-0.01596,-0.03015,-0.04791,-0.02432,0.03983,-0.02023,-0.03869,0.02343,0.0192,0.05629,0.03415,0.10699,0.03962,-0.08428,-0.05717,-0.01898,-0.02378,-0.00554,-0.07569,-0.05805,-0.00679,-0.00781,-0.00126,0.08627,0.06949,0.0613,-0.01925,0.12967,0.10214,0.1013,0.08112,0.04093,0.12501,0.01214,0.11352,0.07467,0.03662,0.17586,0.06601,-0.03877,-0.07578,-0.04503,-0.00321,-0.07241,-0.06056,0.03364,0.04655,0.0138,0.02037,-0.01213,0.03657,0.04828,0.0125,-0.02064,-0.01476,-0.03639,0.02822,0.06271,-0.03674,0.1192,0.11058,-0.10004,-0.0375,0.00824,-0.09543,-0.08022,-0.05497,-0.02287,-0.01317,0.02507,0.0284,0.08826,-0.00834,0.02363,0.02958,0.03164,0.01546,-0.05604,0.03924,0.0005,-0.01265,-0.00845,-0.04992,0.03961,0.00167,-0.00599,-0.00574,0.05109,0.05612,0.07871,0.01095,0.05923,0.04028,-0.11731,-0.11187,-0.02889,-0.04994,0.0116,-0.07305,-0.05216,0.01421,0.03541,0.00924,0.12274,-0.03076,-0.01313,0.00728,-0.11227,-0.04326,0.04399,0.05252,-0.00828,0.02374,0.02471,-0.00361,0.02091,0.00951,-0.07569,-0.0412,-0.04943,-0.04409,0.01661,-0.0226,0.00201,0.01591,-0.03232,-0.0151,-0.01095,0.0009,0.01062,-0.02934,-0.01243,-0.01646,-0.00113,0.01494,0.03009,-0.03612,-0.01102,-0.0325,-0.05854,0.00698,-0.05514,-0.00456,0.04634,-0.04649,-0.05466,-0.05808,-0.02419,-0.03296,-0.09066,-0.03102,0.00383,0.03062,0.06451,0.0624,0.13773,0.0547,-0.09983,-0.08033,-0.02618,-0.03802,-0.00196,-0.06716,-0.01354,0.00818,-0.01238,-0.01412,0.09177,-0.00145,0.02045,0.0524,-0.04379,-0.06488,-0.09697,-0.02917,0.02614,-0.01013,-0.02796,-0.07336,-0.02136,0.03301,-0.04671,-0.05115,0.08625,-0.02464,0.01154,-0.02073,0.0736,0.06753,-0.12696,-0.0825,-0.02175,-0.16218,-0.04891,-0.11792,-0.04629,-0.02131,-0.04668,-0.00808,0.08887,-0.05837,-0.02675,-0.00399,-0.03679,-0.03012,-0.00666,0.0067,0.02922,-0.00149,-0.00394,-0.00952,0.00522,0.00576,-0.00444,-0.00497,0.004,-0.02775,0.00016,0.04862,-0.03016,-0.04785,-0.01774,-0.00091,-0.02179,0.00203,0.00827,-0.0221,-0.00315,-0.02479,-0.00313,0.00438,0.01547,-0.01495,-0.01776,0.07465,0.11778,0.01115,0.03791,0.02567,0.00526,0.01099,0.00692,0.02044,-0.00135,0.02337,0.03307,0.00829,-0.03871
LASSO_logit,0.9754,200,0.0,0.0,0.12498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10275,0.0,0.0,0.0,0.0,0.0,0.0,-0.16902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01124,-0.49675,0.0,0.07442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02826,0.0,0.0,0.50651,0.0,0.0,0.0,0.0,0.0,-0.05675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,-0.01307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
