model,auc_cv,auc_holdout,auc,n_train,n_test,admiration_b_mean,admiration_b_std,admiration_b_early,admiration_b_late,admiration_b_delta,admiration_s_mean,admiration_s_std,admiration_s_early,admiration_s_late,admiration_s_delta,admiration_all_mean,admiration_all_std,admiration_all_early,admiration_all_late,admiration_all_delta,admiration_diff_b_minus_s,amusement_b_mean,amusement_b_std,amusement_b_early,amusement_b_late,amusement_b_delta,amusement_s_mean,amusement_s_std,amusement_s_early,amusement_s_late,amusement_s_delta,amusement_all_mean,amusement_all_std,amusement_all_early,amusement_all_late,amusement_all_delta,amusement_diff_b_minus_s,anger_b_mean,anger_b_std,anger_b_early,anger_b_late,anger_b_delta,anger_s_mean,anger_s_std,anger_s_early,anger_s_late,anger_s_delta,anger_all_mean,anger_all_std,anger_all_early,anger_all_late,anger_all_delta,anger_diff_b_minus_s,annoyance_b_mean,annoyance_b_std,annoyance_b_early,annoyance_b_late,annoyance_b_delta,annoyance_s_mean,annoyance_s_std,annoyance_s_early,annoyance_s_late,annoyance_s_delta,annoyance_all_mean,annoyance_all_std,annoyance_all_early,annoyance_all_late,annoyance_all_delta,annoyance_diff_b_minus_s,approval_b_mean,approval_b_std,approval_b_early,approval_b_late,approval_b_delta,approval_s_mean,approval_s_std,approval_s_early,approval_s_late,approval_s_delta,approval_all_mean,approval_all_std,approval_all_early,approval_all_late,approval_all_delta,approval_diff_b_minus_s,caring_b_mean,caring_b_std,caring_b_early,caring_b_late,caring_b_delta,caring_s_mean,caring_s_std,caring_s_early,caring_s_late,caring_s_delta,caring_all_mean,caring_all_std,caring_all_early,caring_all_late,caring_all_delta,caring_diff_b_minus_s,confusion_b_mean,confusion_b_std,confusion_b_early,confusion_b_late,confusion_b_delta,confusion_s_mean,confusion_s_std,confusion_s_early,confusion_s_late,confusion_s_delta,confusion_all_mean,confusion_all_std,confusion_all_early,confusion_all_late,confusion_all_delta,confusion_diff_b_minus_s,curiosity_b_mean,curiosity_b_std,curiosity_b_early,curiosity_b_late,curiosity_b_delta,curiosity_s_mean,curiosity_s_std,curiosity_s_early,curiosity_s_late,curiosity_s_delta,curiosity_all_mean,curiosity_all_std,curiosity_all_early,curiosity_all_late,curiosity_all_delta,curiosity_diff_b_minus_s,desire_b_mean,desire_b_std,desire_b_early,desire_b_late,desire_b_delta,desire_s_mean,desire_s_std,desire_s_early,desire_s_late,desire_s_delta,desire_all_mean,desire_all_std,desire_all_early,desire_all_late,desire_all_delta,desire_diff_b_minus_s,disappointment_b_mean,disappointment_b_std,disappointment_b_early,disappointment_b_late,disappointment_b_delta,disappointment_s_mean,disappointment_s_std,disappointment_s_early,disappointment_s_late,disappointment_s_delta,disappointment_all_mean,disappointment_all_std,disappointment_all_early,disappointment_all_late,disappointment_all_delta,disappointment_diff_b_minus_s,disapproval_b_mean,disapproval_b_std,disapproval_b_early,disapproval_b_late,disapproval_b_delta,disapproval_s_mean,disapproval_s_std,disapproval_s_early,disapproval_s_late,disapproval_s_delta,disapproval_all_mean,disapproval_all_std,disapproval_all_early,disapproval_all_late,disapproval_all_delta,disapproval_diff_b_minus_s,disgust_b_mean,disgust_b_std,disgust_b_early,disgust_b_late,disgust_b_delta,disgust_s_mean,disgust_s_std,disgust_s_early,disgust_s_late,disgust_s_delta,disgust_all_mean,disgust_all_std,disgust_all_early,disgust_all_late,disgust_all_delta,disgust_diff_b_minus_s,embarrassment_b_mean,embarrassment_b_std,embarrassment_b_early,embarrassment_b_late,embarrassment_b_delta,embarrassment_s_mean,embarrassment_s_std,embarrassment_s_early,embarrassment_s_late,embarrassment_s_delta,embarrassment_all_mean,embarrassment_all_std,embarrassment_all_early,embarrassment_all_late,embarrassment_all_delta,embarrassment_diff_b_minus_s,excitement_b_mean,excitement_b_std,excitement_b_early,excitement_b_late,excitement_b_delta,excitement_s_mean,excitement_s_std,excitement_s_early,excitement_s_late,excitement_s_delta,excitement_all_mean,excitement_all_std,excitement_all_early,excitement_all_late,excitement_all_delta,excitement_diff_b_minus_s,fear_b_mean,fear_b_std,fear_b_early,fear_b_late,fear_b_delta,fear_s_mean,fear_s_std,fear_s_early,fear_s_late,fear_s_delta,fear_all_mean,fear_all_std,fear_all_early,fear_all_late,fear_all_delta,fear_diff_b_minus_s,gratitude_b_mean,gratitude_b_std,gratitude_b_early,gratitude_b_late,gratitude_b_delta,gratitude_s_mean,gratitude_s_std,gratitude_s_early,gratitude_s_late,gratitude_s_delta,gratitude_all_mean,gratitude_all_std,gratitude_all_early,gratitude_all_late,gratitude_all_delta,gratitude_diff_b_minus_s,grief_b_mean,grief_b_std,grief_b_early,grief_b_late,grief_b_delta,grief_s_mean,grief_s_std,grief_s_early,grief_s_late,grief_s_delta,grief_all_mean,grief_all_std,grief_all_early,grief_all_late,grief_all_delta,grief_diff_b_minus_s,joy_b_mean,joy_b_std,joy_b_early,joy_b_late,joy_b_delta,joy_s_mean,joy_s_std,joy_s_early,joy_s_late,joy_s_delta,joy_all_mean,joy_all_std,joy_all_early,joy_all_late,joy_all_delta,joy_diff_b_minus_s,love_b_mean,love_b_std,love_b_early,love_b_late,love_b_delta,love_s_mean,love_s_std,love_s_early,love_s_late,love_s_delta,love_all_mean,love_all_std,love_all_early,love_all_late,love_all_delta,love_diff_b_minus_s,nervousness_b_mean,nervousness_b_std,nervousness_b_early,nervousness_b_late,nervousness_b_delta,nervousness_s_mean,nervousness_s_std,nervousness_s_early,nervousness_s_late,nervousness_s_delta,nervousness_all_mean,nervousness_all_std,nervousness_all_early,nervousness_all_late,nervousness_all_delta,nervousness_diff_b_minus_s,optimism_b_mean,optimism_b_std,optimism_b_early,optimism_b_late,optimism_b_delta,optimism_s_mean,optimism_s_std,optimism_s_early,optimism_s_late,optimism_s_delta,optimism_all_mean,optimism_all_std,optimism_all_early,optimism_all_late,optimism_all_delta,optimism_diff_b_minus_s,pride_b_mean,pride_b_std,pride_b_early,pride_b_late,pride_b_delta,pride_s_mean,pride_s_std,pride_s_early,pride_s_late,pride_s_delta,pride_all_mean,pride_all_std,pride_all_early,pride_all_late,pride_all_delta,pride_diff_b_minus_s,realization_b_mean,realization_b_std,realization_b_early,realization_b_late,realization_b_delta,realization_s_mean,realization_s_std,realization_s_early,realization_s_late,realization_s_delta,realization_all_mean,realization_all_std,realization_all_early,realization_all_late,realization_all_delta,realization_diff_b_minus_s,relief_b_mean,relief_b_std,relief_b_early,relief_b_late,relief_b_delta,relief_s_mean,relief_s_std,relief_s_early,relief_s_late,relief_s_delta,relief_all_mean,relief_all_std,relief_all_early,relief_all_late,relief_all_delta,relief_diff_b_minus_s,remorse_b_mean,remorse_b_std,remorse_b_early,remorse_b_late,remorse_b_delta,remorse_s_mean,remorse_s_std,remorse_s_early,remorse_s_late,remorse_s_delta,remorse_all_mean,remorse_all_std,remorse_all_early,remorse_all_late,remorse_all_delta,remorse_diff_b_minus_s,sadness_b_mean,sadness_b_std,sadness_b_early,sadness_b_late,sadness_b_delta,sadness_s_mean,sadness_s_std,sadness_s_early,sadness_s_late,sadness_s_delta,sadness_all_mean,sadness_all_std,sadness_all_early,sadness_all_late,sadness_all_delta,sadness_diff_b_minus_s,surprise_b_mean,surprise_b_std,surprise_b_early,surprise_b_late,surprise_b_delta,surprise_s_mean,surprise_s_std,surprise_s_early,surprise_s_late,surprise_s_delta,surprise_all_mean,surprise_all_std,surprise_all_early,surprise_all_late,surprise_all_delta,surprise_diff_b_minus_s
Logistic_L2,0.7972,0.8,0.8,38,10,0.03122,0.06585,0.03584,-0.0053,-0.02189,0.14826,0.16997,0.00657,0.11976,0.10135,0.10929,0.11576,0.03986,0.05285,0.02581,-0.08406,0.07258,0.09222,0.05044,0.03448,-0.04824,0.05334,0.05135,0.00711,0.08056,0.03637,0.08258,0.10104,0.05214,0.04781,-0.0446,0.05601,-0.07783,-0.04764,-0.00988,0.00715,0.01008,0.04348,0.06102,-0.07213,-0.0086,0.03569,-0.00929,0.02456,-0.03989,0.05707,0.06695,-0.08053,-0.12081,-0.08561,-0.02008,-0.07587,-0.04994,-0.04557,-0.01329,-0.06613,-0.02173,0.03798,-0.10253,-0.06721,-0.04925,-0.08275,-0.01173,-0.07711,0.17588,0.11235,0.05133,-0.07235,-0.08902,-0.0444,-0.13217,-0.03102,0.00408,0.02622,0.09946,0.04348,0.00886,0.00626,0.00024,0.16523,0.07327,0.0876,-0.08842,-0.1137,-0.00376,-0.05347,-0.05672,-0.03474,-0.07655,-0.03662,-0.01373,-0.00863,-0.06962,-0.09399,-0.04177,0.08265,-0.06245,-0.07083,-0.01779,-0.08413,-0.03676,0.07375,0.07242,0.12701,-0.00307,-0.12631,-0.00699,-0.01646,0.10882,-0.05156,-0.12212,-0.09104,0.03565,0.08253,-0.01294,0.09879,0.05646,0.06543,-0.0359,0.00061,0.01639,0.01052,0.06647,0.04966,0.02069,0.10207,0.04507,-0.0293,-0.02276,-0.03187,-0.01096,-0.04041,-0.02236,0.09312,0.09702,0.01484,0.00022,-0.01099,0.01342,0.01016,-0.00262,-0.05594,-0.04223,-0.05497,-0.09246,-0.0492,-0.05683,-0.02575,-0.00303,0.01705,0.03404,-0.0349,-0.00392,0.00689,-0.05526,-0.03526,-0.03335,-0.03827,-0.02328,-0.07738,-0.19901,-0.16474,0.04695,-0.08146,-0.08799,-0.11874,-0.14913,-0.0487,-0.06138,-0.03655,-0.22638,-0.24852,0.02703,-0.11578,-0.1041,-0.02416,0.00811,0.03733,0.00543,0.03831,0.03787,0.04629,0.05213,-0.02568,0.0377,0.03934,0.02405,0.04348,0.00651,0.04152,0.04084,-0.03079,0.01551,0.03958,0.04912,-0.02294,-0.03877,0.06915,0.07163,-0.06706,0.02485,0.06483,0.03838,0.05354,0.02628,-0.00867,-0.02092,-0.0086,-0.04316,-0.00066,-0.01791,-0.0559,-0.02803,0.06911,0.0831,-0.04678,0.18285,0.0629,0.03495,0.04016,-0.04977,-0.00457,0.04363,-0.07942,0.00915,0.01665,0.01647,-0.06962,-0.02114,0.06914,0.03005,-0.06374,-0.08494,0.02893,0.01289,0.01686,0.01511,-0.08574,-0.02142,0.00442,0.06628,0.08587,0.02909,-0.02584,-0.02911,-0.00397,-0.00434,-0.02866,0.03173,0.04475,0.02479,0.03705,-0.02366,0.01012,0.01982,0.04636,0.0123,0.00842,0.09243,-0.05466,-0.07258,0.07968,0.06261,-0.06313,0.02267,0.05103,0.06074,0.0379,0.04413,-0.00825,-0.02254,-0.0459,0.10273,0.11593,0.04217,0.10729,0.06059,0.13807,0.13546,0.07732,0.11593,-0.02119,0.1416,0.14596,0.06995,0.13961,0.04271,-0.04349,0.0367,0.03246,-0.05421,0.01153,0.05134,0.03495,0.05705,-0.03985,0.08344,0.08928,0.05553,0.08077,-0.06524,0.05851,0.08534,-0.00165,-0.01543,-0.00671,0.0161,-0.12476,-0.07086,0.14486,0.15312,-0.04871,-0.00307,0.0444,0.03398,0.01148,0.01636,-0.11985,-0.07075,-0.06727,-0.08107,-0.08636,-0.12256,-0.06071,0.02014,0.02485,0.03794,-0.02641,-0.05233,-0.01856,-0.02882,-0.04056,-0.08269,-0.08259,-0.01629,-0.09138,0.01642,0.01259,0.02283,-0.06835,-0.06722,0.08247,0.10568,-0.04106,0.08489,0.0848,0.05249,0.03418,-0.00399,0.00336,0.00508,-0.04595,-0.07558,-0.00719,0.00171,0.00648,0.00074,-0.05048,0.02071,0.02991,-0.01174,-0.03242,-0.07788,0.00293,0.01941,-0.01708,-0.02679,-0.04513,-0.02142,-0.02793,0.05342,-0.00764,-0.02036,-0.01005,0.03453,0.04583,-0.03208,-0.05351,-0.03146,-0.01584,0.06565,-0.01986,-0.0441,-0.00897,0.07251,0.071,0.13258,-0.06128,-0.12253,0.04576,0.02297,-0.03928,0.0147,0.03904,0.06753,0.04571,0.10032,-0.0381,-0.09627,-0.00511,-0.0115,-0.02199,0.11305,-0.04762,-0.08704,0.04738,0.03979,-0.05063,0.01361,0.03609,0.02417,-0.00221,0.05367,0.00424,-0.01755,-0.03967,0.05797,0.10491,0.06207,0.07277,0.00859,-0.01653,-0.03554,-0.06337,0.0161,0.06414,0.01185,0.03288,-0.01933,0.06051,0.04556,0.04239
Ridge_logit,0.8083,0.8,0.8,38,10,0.02215,0.04195,0.02133,0.00032,-0.01052,0.08798,0.10196,0.0043,0.07596,0.06422,0.06703,0.07122,0.02575,0.03386,0.01644,-0.04663,0.04256,0.05382,0.02948,0.02324,-0.02803,0.03285,0.03141,0.00542,0.04723,0.01974,0.04882,0.05929,0.03077,0.03167,-0.02581,0.03241,-0.04247,-0.0232,-0.00873,0.00206,0.005,0.02552,0.03502,-0.04144,-0.00882,0.01735,-0.00357,0.01683,-0.02433,0.03139,0.03755,-0.0454,-0.06888,-0.04747,-0.01668,-0.04549,-0.02626,-0.02387,-0.00398,-0.03821,-0.0152,0.01974,-0.05725,-0.03498,-0.03095,-0.04979,-0.00583,-0.04573,0.09937,0.06597,0.02911,-0.03519,-0.04544,-0.02685,-0.07183,-0.00993,0.0065,0.01322,0.05443,0.02278,0.00945,0.00695,0.00051,0.09464,0.03791,0.04901,-0.05074,-0.06239,0.00019,-0.03142,-0.03007,-0.02224,-0.04704,-0.02186,-0.01048,-0.00362,-0.04152,-0.05576,-0.02465,0.04578,-0.03133,-0.03208,-0.00333,-0.03784,-0.02007,0.04311,0.04566,0.06875,-0.00178,-0.06844,0.00056,-0.00071,0.06332,-0.02217,-0.06663,-0.04941,0.01839,0.04296,-0.00699,0.0511,0.02943,0.03878,-0.01708,-0.00411,0.01149,0.01122,0.03892,0.02927,0.01082,0.05779,0.02626,-0.0189,-0.01594,-0.01798,-0.00905,-0.0264,-0.01319,0.05324,0.05918,0.00537,-0.00886,-0.01054,0.00469,0.00643,-0.00551,-0.03794,-0.0263,-0.03409,-0.05098,-0.02424,-0.03619,-0.01798,-0.0034,0.00858,0.01949,-0.02203,-0.00091,0.00581,-0.03098,-0.01676,-0.02336,-0.02324,-0.01308,-0.04211,-0.10653,-0.08419,0.02632,-0.04501,-0.04881,-0.06686,-0.07709,-0.03039,-0.03909,-0.02351,-0.12402,-0.1309,0.0137,-0.06922,-0.06097,-0.01049,0.00778,0.02452,0.00206,0.02404,0.02383,0.03065,0.03377,-0.01451,0.02422,0.02509,0.01752,0.02864,0.00353,0.02608,0.02569,-0.01675,0.01063,0.02443,0.02761,-0.0177,-0.02626,0.04601,0.04865,-0.03827,0.01166,0.03535,0.02595,0.03407,0.01456,-0.01008,-0.01593,-0.00544,-0.02471,-0.00402,-0.00711,-0.03393,-0.01946,0.03883,0.04673,-0.02885,0.10133,0.03775,0.01929,0.02005,-0.02836,-0.00601,0.02368,-0.04488,0.00806,0.01222,0.01195,-0.03899,-0.01454,0.0378,0.01913,-0.03941,-0.04783,0.01977,0.01007,0.0123,0.01108,-0.04884,-0.01464,0.00549,0.03468,0.04657,0.02189,-0.01817,-0.02064,2e-05,4e-05,-0.0072,0.01583,0.01859,0.01486,0.0207,-0.00351,0.00241,0.00383,0.02206,0.00463,0.00591,0.05333,-0.03593,-0.046,0.04683,0.03939,-0.03716,0.01212,0.02893,0.03423,0.02484,0.02491,-0.00751,-0.01541,-0.02876,0.06269,0.07064,0.02758,0.0604,0.03203,0.08076,0.07833,0.04245,0.07098,-0.00823,0.08554,0.08799,0.042,0.08181,0.02425,-0.02312,0.02552,0.02418,-0.03199,0.01273,0.0333,0.02461,0.03812,-0.02006,0.05109,0.05217,0.03729,0.05217,-0.03704,0.03927,0.05247,-0.00139,-0.00628,0.00058,0.01152,-0.06844,-0.04118,0.07978,0.08566,-0.0327,-0.00335,0.0293,0.02082,0.01062,0.01062,-0.06672,-0.04068,-0.035,-0.04575,-0.04753,-0.06819,-0.03604,0.00941,0.01171,0.02043,-0.01759,-0.03433,-0.012,-0.01803,-0.02251,-0.04869,-0.04915,-0.00998,-0.04942,0.0116,0.0093,0.02046,-0.03233,-0.03777,0.05381,0.06654,-0.02417,0.05498,0.05356,0.03498,0.02359,0.00223,0.0075,0.00484,-0.02909,-0.04366,-0.00653,0.00285,0.00306,-0.00155,-0.03233,0.01144,0.01998,-0.00172,-0.01724,-0.04686,0.0007,0.01358,-0.00913,-0.01744,-0.02431,-0.01252,-0.01597,0.03438,-0.00506,-0.01324,-0.00279,0.02198,0.02563,-0.01561,-0.02771,-0.01567,-0.00768,0.04028,-0.01053,-0.02548,-0.00753,0.03829,0.04101,0.07459,-0.0389,-0.07243,0.02812,0.01638,-0.02262,0.00548,0.02078,0.03921,0.03029,0.05609,-0.02679,-0.05749,-0.00616,-0.00775,-0.01097,0.06452,-0.0334,-0.05523,0.03007,0.02716,-0.02896,0.00906,0.02173,0.01558,0.00416,0.03065,0.00181,-0.01055,-0.02547,0.03952,0.06401,0.03927,0.04387,0.00375,-0.00416,-0.0145,-0.03179,0.01352,0.03407,0.0149,0.02602,-0.00539,0.03924,0.02338,0.02289
LASSO_logit,0.5417,0.52,0.52,38,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
