outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,realization_nonzero_count,388,0.0599,0.2395,0.0906,0.0748,0.0599,a2a
outcome_binary,relief_nonzero_count,388,0.0599,0.2395,0.0906,0.0748,0.0599,a2a
outcome_binary,remorse_nonzero_count,388,0.0599,0.2395,0.0906,0.0748,0.0599,a2a
outcome_binary,sadness_nonzero_count,388,0.0599,0.2395,0.0906,0.0748,0.0599,a2a
outcome_binary,surprise_nonzero_count,388,0.0599,0.2395,0.0906,0.0748,0.0599,a2a
outcome_binary,relief_sum,388,0.0583,0.2518,0.0792,0.1191,0.0583,a2a
outcome_binary,caring_max,388,-0.0568,0.2641,0.0108,0.8322,0.0568,a2a
outcome_binary,seller_curiosity_mean,382,-0.0535,0.2967,-0.0488,0.3411,0.0535,a2a
outcome_binary,buyer_amusement_std,388,-0.0525,0.3025,-0.1025,0.0437,0.0525,a2a
outcome_binary,seller_gratitude_mean,382,-0.0512,0.3185,-0.0752,0.1423,0.0512,a2a
outcome_binary,seller_remorse_std,375,0.0483,0.3513,-0.2493,0.0,0.0483,a2a
outcome_binary,desire_mean,388,0.0464,0.362,0.1003,0.0484,0.0464,a2a
outcome_binary,optimism_std,388,0.0464,0.3624,0.0596,0.2412,0.0464,a2a
outcome_binary,optimism_mean,388,0.0433,0.3954,0.0751,0.1398,0.0433,a2a
outcome_binary,amusement_std,388,0.0425,0.4035,-0.0063,0.9017,0.0425,a2a
outcome_binary,optimism_min,388,0.0423,0.4055,0.0812,0.1104,0.0423,a2a
outcome_binary,seller_optimism_std,375,0.0399,0.4409,0.0273,0.5978,0.0399,a2a
outcome_binary,buyer_relief_mean,388,-0.0386,0.4481,-0.1643,0.0012,0.0386,a2a
outcome_binary,caring_sum,388,-0.038,0.456,0.1021,0.0445,0.038,a2a
outcome_binary,seller_love_mean,382,0.0378,0.461,0.1316,0.01,0.0378,a2a
outcome_binary,buyer_caring_mean,388,-0.035,0.4919,0.0105,0.8359,0.035,a2a
outcome_binary,remorse_sum,388,-0.0339,0.5055,-0.4489,0.0,0.0339,a2a
outcome_binary,buyer_desire_std,388,0.0338,0.5072,0.0775,0.1274,0.0338,a2a
outcome_binary,relief_mean,388,0.0335,0.5107,-0.0139,0.7857,0.0335,a2a
outcome_binary,gratitude_min,388,-0.032,0.5302,-0.0012,0.9809,0.032,a2a
outcome_binary,seller_desire_mean,382,-0.0301,0.5572,0.1026,0.045,0.0301,a2a
outcome_binary,buyer_relief_std,388,0.0298,0.558,-0.1294,0.0107,0.0298,a2a
outcome_binary,buyer_remorse_std,388,-0.0295,0.5621,-0.3781,0.0,0.0295,a2a
outcome_binary,love_sum,388,0.0294,0.5638,0.1662,0.001,0.0294,a2a
outcome_binary,love_mean,388,0.0278,0.5849,0.1416,0.0052,0.0278,a2a
outcome_binary,remorse_max,388,0.0278,0.5845,-0.4306,0.0,0.0278,a2a
outcome_binary,buyer_excitement_std,388,0.0276,0.5873,0.0113,0.8249,0.0276,a2a
outcome_binary,caring_mean,388,-0.0272,0.5937,0.0257,0.6136,0.0272,a2a
outcome_binary,desire_max,388,0.0264,0.6037,0.0611,0.2297,0.0264,a2a
outcome_binary,seller_remorse_mean,382,0.0237,0.6448,-0.256,0.0,0.0237,a2a
outcome_binary,desire_min,388,0.0198,0.6971,0.1552,0.0022,0.0198,a2a
outcome_binary,remorse_std,388,0.0178,0.7274,-0.4322,0.0,0.0178,a2a
outcome_binary,curiosity_min,388,0.0174,0.7326,0.3135,0.0,0.0174,a2a
outcome_binary,buyer_optimism_mean,388,0.0174,0.7326,0.0139,0.7849,0.0174,a2a
outcome_binary,desire_std,388,0.0173,0.7346,0.0533,0.2952,0.0173,a2a
outcome_binary,buyer_love_mean,388,0.0159,0.7543,0.1598,0.0016,0.0159,a2a
outcome_binary,seller_caring_mean,382,-0.0123,0.8104,0.0646,0.2075,0.0123,a2a
outcome_binary,buyer_optimism_std,388,0.0102,0.8412,0.008,0.875,0.0102,a2a
outcome_binary,seller_pride_std,375,0.0082,0.8736,0.0022,0.9657,0.0082,a2a
outcome_binary,buyer_love_std,388,-0.0039,0.9396,-0.0753,0.1388,0.0039,a2a
outcome_binary,seller_love_std,375,-0.0034,0.9474,0.0242,0.6409,0.0034,a2a
outcome_binary,love_max,388,0.0031,0.9507,0.043,0.3985,0.0031,a2a
outcome_binary,love_std,388,-0.0006,0.9901,-0.0087,0.8639,0.0006,a2a
outcome_binary,seller_admiration_mean,382,0.0003,0.9958,-0.0012,0.9819,0.0003,a2a
outcome_binary,curiosity_max,388,0.0003,0.9951,-0.0226,0.6575,0.0003,a2a
outcome_binary,pride_min,388,0.0001,0.9983,0.0058,0.9099,0.0001,a2a
