outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,caring_buyer_minus_seller_mean,200,-0.0678,0.3404,-0.0719,0.3118,0.0678,emaad
outcome_binary,desire_buyer_minus_seller_mean,200,-0.0678,0.34,-0.0885,0.2127,0.0678,emaad
outcome_binary,relief_late_minus_early,200,0.067,0.3457,-0.0009,0.9903,0.067,emaad
outcome_binary,approval_late_mean,200,-0.0655,0.3567,-0.0506,0.4769,0.0655,emaad
outcome_binary,love_std,200,0.0639,0.3684,-0.0213,0.7646,0.0639,emaad
outcome_binary,disapproval_min,200,-0.0636,0.3713,-0.0413,0.5614,0.0636,emaad
outcome_binary,confusion_max,200,-0.0629,0.3766,0.0081,0.9089,0.0629,emaad
outcome_binary,curiosity_late_mean,200,0.0626,0.3785,0.0591,0.4061,0.0626,emaad
outcome_binary,approval_mean,200,-0.0623,0.3805,-0.0237,0.7387,0.0623,emaad
outcome_binary,caring_first,200,-0.061,0.3911,-0.1098,0.1216,0.061,emaad
outcome_binary,gratitude_std,200,-0.0605,0.3946,-0.0771,0.278,0.0605,emaad
outcome_binary,nervousness_last,200,-0.0587,0.4093,0.0308,0.6647,0.0587,emaad
outcome_binary,anger_first,200,-0.0556,0.4345,-0.004,0.9554,0.0556,emaad
outcome_binary,embarrassment_early_mean,200,-0.0506,0.4771,-0.1477,0.0368,0.0506,emaad
outcome_binary,relief_first,200,0.0504,0.4786,-0.0026,0.9709,0.0504,emaad
outcome_binary,admiration_delta,200,-0.0501,0.4811,-0.0314,0.6594,0.0501,emaad
outcome_binary,amusement_std,200,0.05,0.4823,0.0729,0.3048,0.05,emaad
outcome_binary,surprise_late_mean,200,-0.0493,0.4882,0.5506,0.0,0.0493,emaad
outcome_binary,admiration_last,200,-0.0471,0.5075,-0.0085,0.9051,0.0471,emaad
outcome_binary,disgust_first,200,0.0456,0.5212,0.0989,0.1635,0.0456,emaad
outcome_binary,surprise_mean,200,0.0435,0.5404,0.3639,0.0,0.0435,emaad
outcome_binary,fear_mean,200,-0.0419,0.5561,-0.3339,0.0,0.0419,emaad
outcome_binary,gratitude_max,200,0.0416,0.5589,-0.0512,0.4717,0.0416,emaad
outcome_binary,desire_last,200,-0.0402,0.5724,-0.0255,0.7204,0.0402,emaad
outcome_binary,confusion_early_mean,200,0.0392,0.5815,0.2274,0.0012,0.0392,emaad
outcome_binary,sadness_first,200,-0.0384,0.5893,0.0246,0.7296,0.0384,emaad
outcome_binary,love_late_mean,200,-0.038,0.5932,-0.2318,0.001,0.038,emaad
outcome_binary,gratitude_late_mean,200,0.0354,0.6182,0.0818,0.2498,0.0354,emaad
outcome_binary,realization_first,200,0.0343,0.6294,0.0468,0.5108,0.0343,emaad
outcome_binary,curiosity_min,200,-0.0337,0.6358,-0.03,0.6736,0.0337,emaad
outcome_binary,pride_late_minus_early,200,0.0304,0.6691,-0.0187,0.7926,0.0304,emaad
outcome_binary,remorse_first,200,0.0273,0.7007,0.0537,0.4502,0.0273,emaad
outcome_binary,anger_buyer_minus_seller_mean,200,-0.0266,0.7083,0.0741,0.2968,0.0266,emaad
outcome_binary,surprise_max,200,0.0263,0.7117,0.2865,0.0,0.0263,emaad
outcome_binary,desire_max,200,-0.0262,0.7125,-0.0495,0.4861,0.0262,emaad
outcome_binary,pride_early_mean,200,-0.0224,0.753,0.1301,0.0664,0.0224,emaad
outcome_binary,pride_late_mean,200,0.0224,0.7526,0.0811,0.2538,0.0224,emaad
outcome_binary,admiration_late_minus_early,200,-0.0197,0.7822,-0.0154,0.8285,0.0197,emaad
outcome_binary,love_early_mean,200,-0.0193,0.7862,0.0887,0.2118,0.0193,emaad
outcome_binary,disapproval_first,200,0.0181,0.7995,0.0383,0.5905,0.0181,emaad
outcome_binary,nervousness_early_mean,200,-0.0178,0.803,-0.1498,0.0342,0.0178,emaad
outcome_binary,optimism_buyer_minus_seller_mean,200,0.0163,0.8188,0.0899,0.2055,0.0163,emaad
outcome_binary,approval_first,200,-0.0162,0.8196,-0.0159,0.8228,0.0162,emaad
outcome_binary,love_mean,200,0.0116,0.87,-0.1155,0.1033,0.0116,emaad
outcome_binary,optimism_first,200,-0.0092,0.8966,-0.0478,0.5014,0.0092,emaad
outcome_binary,fear_max,200,0.009,0.8992,-0.1806,0.0105,0.009,emaad
outcome_binary,fear_buyer_minus_seller_mean,200,0.0086,0.9043,-0.1209,0.0881,0.0086,emaad
outcome_binary,fear_std,200,-0.0072,0.9197,-0.2446,0.0005,0.0072,emaad
outcome_binary,amusement_min,200,-0.0067,0.9247,0.012,0.8666,0.0067,emaad
outcome_binary,confusion_buyer_minus_seller_mean,200,-0.0065,0.9268,-0.0511,0.4724,0.0065,emaad
outcome_binary,surprise_std,200,-0.0051,0.9424,0.2655,0.0001,0.0051,emaad
outcome_binary,love_late_minus_early,200,0.0003,0.9962,-0.1758,0.0128,0.0003,emaad
