outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,approval_first,48,0.0511,0.7303,-0.0557,0.7069,0.0511,dealerships
outcome_binary,gratitude_late_mean,48,-0.0497,0.7374,-0.0226,0.8789,0.0497,dealerships
outcome_binary,gratitude_mean,48,0.0494,0.7386,0.0497,0.7374,0.0494,dealerships
outcome_binary,grief_first,48,-0.0488,0.742,-0.0226,0.8789,0.0488,dealerships
outcome_binary,excitement_min,48,-0.0486,0.7429,0.0196,0.895,0.0486,dealerships
outcome_binary,admiration_early_mean,48,0.0481,0.7456,0.0406,0.7839,0.0481,dealerships
outcome_binary,caring_max,48,0.0478,0.7472,0.0421,0.7761,0.0478,dealerships
outcome_binary,joy_buyer_minus_seller_mean,48,0.0468,0.7521,-0.0617,0.6769,0.0468,dealerships
outcome_binary,disgust_max,48,-0.0441,0.7659,0.1219,0.4091,0.0441,dealerships
outcome_binary,realization_early_mean,48,0.0437,0.7682,0.0978,0.5083,0.0437,dealerships
outcome_binary,admiration_last,48,-0.043,0.7715,-0.1671,0.2564,0.043,dealerships
outcome_binary,realization_last,48,0.0421,0.7763,0.0617,0.6769,0.0421,dealerships
outcome_binary,disappointment_delta,48,-0.041,0.7821,0.0617,0.6769,0.041,dealerships
outcome_binary,love_early_mean,48,0.0374,0.8009,0.2122,0.1476,0.0374,dealerships
outcome_binary,gratitude_buyer_minus_seller_mean,48,-0.0371,0.8025,0.0045,0.9757,0.0371,dealerships
outcome_binary,sadness_late_minus_early,48,-0.0367,0.8042,-0.1761,0.2312,0.0367,dealerships
outcome_binary,remorse_first,48,-0.0358,0.8092,-0.0105,0.9433,0.0358,dealerships
outcome_binary,optimism_min,48,-0.0318,0.8301,-0.0527,0.7221,0.0318,dealerships
outcome_binary,confusion_first,48,0.0314,0.8325,0.0346,0.8153,0.0314,dealerships
outcome_binary,realization_delta,48,-0.0308,0.8353,-0.0557,0.7069,0.0308,dealerships
outcome_binary,remorse_min,48,0.0277,0.852,0.0045,0.9757,0.0277,dealerships
outcome_binary,optimism_delta,48,-0.0273,0.8537,0.0497,0.7374,0.0273,dealerships
