,mean_cv_auc,std_cv_auc,overall_auc,n_features
M1_price,0.539,0.0654,0.5391,9.0
M2_ssm,0.6269,0.1117,0.6187,20.0
M3_price_ssm,0.5848,0.0782,0.5847,29.0
M4_full,0.6143,0.0655,0.6038,47.0
