conversation_id,sale,last_buyer,last_seller,price_gap,initial_gap,buyer_movement,seller_movement,n_offers,n_allowances,midpoint,z_1_mean,z_1_std,z_1_last,z_1_slope,z_1_diverge,z_2_mean,z_2_std,z_2_last,z_2_slope,z_2_diverge,z_3_mean,z_3_std,z_3_last,z_3_slope,z_3_diverge,z_4_mean,z_4_std,z_4_last,z_4_slope,z_4_diverge,new_offer,repeat,push,comparison,allowance,push_constraint,push_disparagement,push_neutral,comparison_price,comparison_quality,comparison_mixed,buyer_push_rate,buyer_comparison_rate,buyer_allowance_rate,seller_push_rate,seller_comparison_rate,seller_allowance_rate,push_then_comp
22,0,230,230,0,10,0,0,3,1,230.0,-0.4810744615384615,0.5311846844320466,-0.5027028,-0.030218598901098934,0.4863941666666666,0.06560461538461539,0.46188069027068807,0.07878700000000002,0.023443593406593414,0.4529368333333334,-0.6177903076923077,0.3738224195785806,-0.5217892,0.015427252747252755,0.4118326666666667,-0.14904161538461538,0.3280776884514345,-0.0612884,0.027356423076923087,0.325086,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0
39,1,155,230,75,75,0,0,3,1,192.5,0.18560933333333332,0.8071535773513161,0.1184536,-0.052553960714285704,0.46511242857142854,-0.47769480000000003,0.3669840435119408,-0.551659,-0.03376155,0.18659157142857147,-1.0916889333333333,0.6428225758744377,-0.8152408,0.012515014285714261,0.3569678571428571,1.1810265333333334,0.8126056123035913,1.3204292,0.013048817857142856,0.6670157142857143,0.2,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.375,0.25,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.13333333333333333
51,1,245,220,25,50,25,0,3,3,232.5,-0.7472986153846153,0.7343771286338843,-0.121744,0.1145817582417582,0.4165750000000001,-0.6480873076923077,0.35407808635330823,-0.31339820000000007,0.06178251648351649,0.1994701666666667,-0.31453607692307683,0.6125075339468129,-0.3509508,0.03969189010989011,0.29963533333333336,-0.17409807692307694,0.20088336090121772,-0.2408144,-0.0038532857142857093,0.13081066666666666,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.0,0.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.5,0.16666666666666666,0.07692307692307693
66,1,220,230,10,10,0,0,4,0,225.0,-0.23560688888888887,0.5898148703130467,-0.9131773333333334,-0.12500373333333328,0.4253052500000001,0.370129,0.45460895850116334,0.977109,0.15187144999999994,0.25250325,-1.5170940000000002,0.6697715515018601,-1.3517010000000003,-0.07957785000000009,0.41150600000000004,0.5848128888888888,0.50316036180722,0.7969513333333333,0.11746798333333333,0.28857425000000003,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0.4,0.2,0.0,0.5,0.5,0.0,0.1111111111111111
67,0,190,230,40,50,0,0,4,1,210.0,0.5457797333333333,0.5935402308408422,0.379309,-0.018312157142857145,0.38852214285714276,0.05912166666666665,0.47720378761660226,-0.15438219999999997,-0.008390735714285712,0.208748,-1.1298333333333332,0.799236303979919,-1.0011448,-0.05425797142857142,0.2943328571428571,1.3570204,1.2321804013578457,0.8111904000000001,-0.002801028571428577,0.6620388571428572,0.26666666666666666,0.0,0.4,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.5,0.125,0.125,0.2857142857142857,0.0,0.0,0.06666666666666667
70,0,230,230,0,10,0,0,2,0,230.0,-0.03332528571428572,0.08592274324615433,-0.104675,-0.04138460714285714,0.039252,-0.348911,0.14709993713021405,-0.2104176666666667,0.05039803571428569,0.1484963333333333,-1.1665108571428573,0.868985165146496,-0.27944966666666665,0.3998407499999998,0.5299306666666668,-0.5093411428571428,0.4096501581426137,-0.08577533333333333,0.1917998214285713,0.25159000000000004,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
90,1,226,227,1,0,7,8,9,1,226.5,-1.1049204166666664,1.0182297091312196,-1.90974675,-0.07576880553410552,0.27413672222222224,-1.1071944999999999,0.7757790425587601,-1.6085883333333333,-0.0476904120978121,0.3932135555555556,-0.47348924999999986,1.062157474838361,-0.1109261666666667,0.06486568841698838,0.3399102777777778,0.2601157777777778,0.7650183565550973,0.08458633333333333,0.008226732303732304,0.3590817777777777,0.25,0.3611111111111111,0.3888888888888889,0.3055555555555556,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.08333333333333333,0.2777777777777778,0.1111111111111111,0.0,0.5,0.5,0.05555555555555555,0.25
100,1,230,229,1,1,0,0,3,1,229.5,-0.1190513846153846,0.22976619264730255,-0.29157077777777773,-0.009514510085470083,0.23585491666666666,-0.44276857692307686,0.48695754319567125,-0.3740471111111111,-0.016401287863247866,0.4215230833333334,-0.5751633076923077,0.6899645865414209,-0.13348111111111108,0.018749096068376075,0.5722839999999999,0.36398657692307695,1.0772015863010536,0.942058,0.0474746923076923,0.7976141666666666,0.11538461538461539,0.038461538461538464,0.2692307692307692,0.19230769230769232,0.038461538461538464,0.038461538461538464,0.0,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.25,0.16666666666666666,0.0,0.11538461538461539
101,0,230,230,0,10,0,0,5,0,230.0,0.07069988888888891,0.6566910322827179,0.044509799999999974,-0.016516932806324113,0.3713812272727272,-0.5778416222222222,0.5254167391462311,-0.9067412666666665,-0.021368209090909095,0.42999713636363635,-0.7090567111111111,0.7435121678291216,-0.8710504666666667,0.0010568862977602058,0.5585682727272727,0.16657473333333336,0.7372307674602073,-0.21745766666666663,-0.034930613702239786,0.4525244090909091,0.1111111111111111,0.022222222222222223,0.022222222222222223,0.2,0.0,0.0,0.0,0.022222222222222223,0.13333333333333333,0.044444444444444446,0.022222222222222223,0.0,0.09090909090909091,0.0,0.043478260869565216,0.30434782608695654,0.0,0.0
104,1,232,230,2,8,0,0,3,1,231.0,-0.35658287499999997,0.3131538040642894,-0.5991516666666667,-0.058866526470588224,0.10108,-0.7559221249999999,0.5615285432540854,-1.4097294999999999,-0.11059202352941176,0.14845849999999997,-0.22487574999999999,0.9673425225791472,0.8943180000000001,0.17139146176470585,0.32171000000000005,-0.19269,0.23270198559109806,0.04218933333333332,0.03897712058823528,0.11336475000000001,0.1875,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.0625,0.0625,0.125,0.0,0.0,0.25,0.0,0.125,0.125,0.125,0.0
105,0,220,237,17,20,3,0,6,1,228.5,-0.11070200000000001,0.25005969537931094,-0.32998649999999996,-0.0293970588235294,0.221052375,-1.1460704117647058,0.9422942153108879,-1.1435741666666668,-0.06653397794117646,0.9164602500000001,-1.1167642352941178,0.6350885877521423,-1.2476833333333335,-0.009873294117647072,0.81206125,0.6035268823529412,1.6549427999037647,0.9453999999999999,0.10570643382352937,1.651431875,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.35294117647058826,0.058823529411764705,0.0,0.0,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.125,0.375,0.0,0.23529411764705882
124,1,231,230,1,10,1,10,6,1,230.5,-0.7565610625000001,0.7900344386359828,-1.1012126666666666,-0.10336249852941175,0.317897375,-1.0112204375,1.1560801643607912,-1.6916196666666667,-0.11430099852941177,0.5656056250000001,-0.17055525000000005,0.8994712472805134,-0.32880550000000003,0.042385673529411756,0.3172845,0.9354322500000001,0.747366487142782,0.9441890000000001,-0.031040982352941164,0.42829925,0.375,0.25,0.0,0.125,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.125,0.125,0.0,0.125,0.0,0.0
129,1,230,230,0,0,0,0,3,1,230.0,-0.6407502631578947,0.771489773349889,-1.4432121428571427,-0.13005899473684213,0.15501733333333334,-0.3941587368421053,0.5325084148659003,-0.5924980000000001,-0.007516421052631586,0.2648437777777778,-1.1538743157894735,0.7542833849919646,-0.862444,0.0259348912280702,0.3972584444444444,-0.45936936842105264,0.24716839706228094,-0.2501207142857143,0.03298208596491232,0.12989355555555557,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.0,0.0,0.10526315789473684,0.21052631578947367,0.0,0.05263157894736842,0.2,0.2,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0
131,1,230,227,3,24,0,21,10,5,228.5,-0.4638660810810812,0.5824968587722384,-0.54135604,-0.005955209863013697,0.3220705833333333,-0.15007316216216218,0.31993724697574877,0.035810879999999996,0.0048073788670862675,0.19160466666666667,-0.3564518108108108,0.5471104358980966,-0.58773596,0.0013396721214365094,0.3177326944444444,0.1189299054054054,0.4872241768475907,-0.16670227999999998,-0.0058222306256941895,0.26392472222222213,0.13513513513513514,0.13513513513513514,0.16216216216216217,0.1891891891891892,0.06756756756756757,0.0,0.013513513513513514,0.14864864864864866,0.10810810810810811,0.02702702702702703,0.05405405405405406,0.25,0.1388888888888889,0.027777777777777776,0.07894736842105263,0.23684210526315788,0.10526315789473684,0.05405405405405406
133,0,220,230,10,20,0,0,1,0,225.0,0.05620822222222223,0.047892864393433446,0.040667,0.0019405333333333337,0.06887425,-0.21787888888888887,0.07700355239246176,-0.13195900000000002,0.022633833333333308,0.03660625000000001,-1.6186446666666667,0.7086448332370479,-0.895139,0.1752563999999998,0.44450775000000003,-0.7204198888888889,0.2960198549494164,-0.43254866666666664,0.06540349999999989,0.18730200000000002,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0,230,229,1,0,0,1,6,0,229.5,-0.17604226315789476,0.7274202077860088,0.49658614285714286,0.05263375964912281,0.2907597777777778,-0.0007830526315789562,0.3975318439568574,-0.43713399999999997,-0.045373473684210526,0.17087422222222223,-2.049081105263158,1.0587947080682623,-3.310664857142857,-0.16510000526315793,0.35765955555555556,-0.01849773684210529,0.7471090925803744,-0.43006500000000003,-0.07797858245614037,0.5510568888888888,0.3157894736842105,0.0,0.21052631578947367,0.2631578947368421,0.0,0.0,0.0,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.0,0.2,0.1,0.0,0.2222222222222222,0.4444444444444444,0.0,0.0
152,1,230,230,0,20,10,0,2,2,230.0,-0.3578975106382979,0.5133982641652334,-0.45443481250000006,-0.017770845975948205,0.14061195652173913,-1.0114584042553192,0.7236397890980913,-1.1402670625,-0.010635532146160977,0.2742664347826087,-0.7656728510638299,0.8301393851442798,-0.9358621875,0.00848073808973174,0.32427382608695654,-0.022697914893616992,0.7107175319847636,-0.011461249999999978,0.011317170444033306,0.28779173913043476,0.0425531914893617,0.1276595744680851,0.1702127659574468,0.1702127659574468,0.0425531914893617,0.0,0.0,0.1702127659574468,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.25,0.25,0.0,0.02127659574468085
154,1,220,231,11,20,30,1,6,1,225.5,-0.20852263333333332,0.7286830506683684,-0.1332132,-0.007959032035595105,0.27353913333333335,-0.05411726666666667,0.29531613037080234,-0.11031790000000001,-0.005016626028921022,0.16253599999999999,-1.1710341,0.6844911189180218,-1.2748716,-0.018562997330367058,0.4734840666666667,0.13715586666666665,1.1313894690565687,-0.5284325000000001,-0.07938073859844273,0.3217097333333333,0.2,0.26666666666666666,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.1,0.1,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.0,0.2,0.2,0.06666666666666667,0.06666666666666667
162,1,230,242,12,8,0,20,5,1,236.0,-0.08039805,0.12696490113194836,-0.009434428571428575,0.003978939097744362,0.0535991,-0.8712182499999999,0.44334367929075186,-0.5947295714285713,0.019721785714285754,0.2103493,-1.1491731,0.6169988448598318,-1.2179847142857143,0.009533347368421045,0.3408128,-0.7024498,0.24652779810604694,-0.6901184285714285,0.005371906766917298,0.1527746,0.25,0.15,0.05,0.45,0.05,0.0,0.0,0.05,0.1,0.15,0.2,0.1,0.4,0.0,0.0,0.5,0.1,0.0
166,0,230,237,7,7,0,0,5,0,233.5,-0.24459023076923073,0.26101785432373253,-0.0015092000000000078,0.04094574725274725,0.21743866666666664,0.008857846153846152,0.11992147604010102,-0.0960906,-0.01780681318681318,0.07291383333333333,-1.0226806923076923,0.44579212440887567,-1.2223916,-0.06045231318681321,0.3261968333333333,-0.3626293846153847,0.19426205140582833,-0.5271678000000001,-0.038267598901098904,0.11136616666666665,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.14285714285714285,0.0,0.0,0.3333333333333333,0.5,0.0,0.15384615384615385
172,1,203,234,31,14,17,0,6,1,218.5,-0.8998434444444443,1.087402265540557,-2.1626861666666666,-0.16739201444788435,0.76161775,-0.6600006111111112,0.5800968649517437,-1.296286,-0.08092761300309596,0.42608537500000004,-0.3286866666666666,1.1203301019639216,1.0627280000000001,0.13404337667698651,1.043420625,0.13376344444444443,0.9162958644016121,1.1146274999999999,0.09678882559339523,0.8328816250000001,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.0,0.0,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.25,0.25,0.0,0.1,0.4,0.1,0.1111111111111111
178,1,203,234,31,14,17,0,6,1,218.5,-1.1667787857142857,1.0108885468706357,-1.5650558,-0.13211590109890115,0.377927,-0.8063359999999999,0.5596953765888257,-0.9177058,-0.07560970549450549,0.2726071428571429,-0.018714928571428587,1.1095994470656894,0.8270206,0.1836493076923078,0.47027728571428573,0.3310245714285714,0.9490813300377898,0.5106016,0.09563080000000004,0.35695685714285724,0.42857142857142855,0.5714285714285714,0.21428571428571427,0.42857142857142855,0.07142857142857142,0.0,0.0,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285
183,1,230,232,2,2,0,0,2,1,231.0,-0.3289055454545454,0.9856468852519712,-1.4377558750000001,-0.10219983173348388,0.6443546,-0.27349013636363634,0.5520071707326465,-0.228230625,-0.008645598531902873,0.3703458,-0.8305051818181817,1.0567214909923206,0.08109150000000004,0.07712108526256348,0.6833483,0.5193258181818181,0.9016101530300146,0.176181125,-0.028280478825522298,0.8844581999999999,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.0,0.045454545454545456,0.0,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.2,0.0,0.045454545454545456
185,1,215,250,35,35,0,0,3,0,232.5,-0.3411738,0.24476053236535203,-0.379178,-0.07223720000000003,0.275776,-0.621061,0.21777030627293062,-0.4485165,0.05827300000000007,0.3710245,-2.6509088,0.22536378561746698,-2.7936555,-0.12641659999999988,0.28676349999999995,-0.2768736,0.7202142167886749,0.5331635,0.48674410000000007,0.41859100000000005,0.6,0.4,0.2,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.5,0.5,0.0,0.0,0.3333333333333333,0.0,0.2
188,0,220,230,10,20,0,0,2,2,225.0,0.1691972857142857,0.14477566501316094,0.29685233333333333,0.06135228571428571,0.06213333333333334,-0.26735528571428574,0.04983280069538245,-0.228772,0.009969535714285698,0.05745833333333333,-1.5434234285714286,0.28765972894427977,-1.331501,0.054051249999999926,0.33343133333333325,-0.47041057142857146,0.3405348109339164,-0.12887933333333332,0.14453071428571423,0.25347966666666666,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
