outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,admiration_max,405,0.2019,0.0,0.1922,0.0001,0.2019,a2a
outcome_binary,embarrassment_first,405,-0.1966,0.0001,-0.1931,0.0001,0.1966,a2a
outcome_binary,admiration_late_mean,405,0.196,0.0001,0.1949,0.0001,0.196,a2a
outcome_binary,approval_min,405,0.1951,0.0001,0.1902,0.0001,0.1951,a2a
outcome_binary,anger_early_mean,405,-0.1944,0.0001,-0.1662,0.0008,0.1944,a2a
outcome_binary,curiosity_mean,405,0.1929,0.0001,0.1857,0.0002,0.1929,a2a
outcome_binary,disapproval_min,405,-0.1909,0.0001,-0.21,0.0,0.1909,a2a
outcome_binary,gratitude_late_minus_early,405,-0.1906,0.0001,-0.2066,0.0,0.1906,a2a
outcome_binary,approval_first,405,0.1899,0.0001,0.1762,0.0004,0.1899,a2a
outcome_binary,nervousness_mean,405,-0.1887,0.0001,-0.2809,0.0,0.1887,a2a
outcome_binary,curiosity_delta,405,0.1876,0.0001,0.1552,0.0017,0.1876,a2a
outcome_binary,curiosity_buyer_minus_seller_mean,399,0.1807,0.0003,0.1647,0.001,0.1807,a2a
outcome_binary,grief_first,405,-0.1785,0.0003,-0.1774,0.0003,0.1785,a2a
outcome_binary,caring_late_mean,405,-0.1777,0.0003,-0.0144,0.7724,0.1777,a2a
outcome_binary,disgust_buyer_minus_seller_mean,399,-0.1753,0.0004,-0.1373,0.006,0.1753,a2a
outcome_binary,caring_late_minus_early,405,-0.1741,0.0004,-0.072,0.1481,0.1741,a2a
outcome_binary,caring_max,405,-0.1739,0.0004,-0.0659,0.1854,0.1739,a2a
outcome_binary,caring_std,405,-0.1709,0.0006,-0.0892,0.073,0.1709,a2a
outcome_binary,admiration_std,405,0.1701,0.0006,0.1366,0.0059,0.1701,a2a
outcome_binary,nervousness_max,405,-0.1699,0.0006,-0.3414,0.0,0.1699,a2a
outcome_binary,confusion_std,405,-0.1688,0.0006,-0.1447,0.0035,0.1688,a2a
outcome_binary,nervousness_std,405,-0.167,0.0007,-0.3066,0.0,0.167,a2a
outcome_binary,annoyance_buyer_minus_seller_mean,399,-0.1662,0.0009,-0.1577,0.0016,0.1662,a2a
outcome_binary,pride_mean,405,0.1642,0.0009,0.1656,0.0008,0.1642,a2a
outcome_binary,gratitude_first,405,-0.1628,0.001,-0.1715,0.0005,0.1628,a2a
outcome_binary,confusion_max,405,-0.1616,0.0011,-0.1311,0.0083,0.1616,a2a
outcome_binary,pride_std,405,0.1601,0.0012,0.1301,0.0088,0.1601,a2a
outcome_binary,relief_first,405,-0.1573,0.0015,-0.1318,0.0079,0.1573,a2a
outcome_binary,disappointment_early_mean,405,-0.1566,0.0016,-0.2306,0.0,0.1566,a2a
outcome_binary,disapproval_early_mean,405,-0.1553,0.0017,-0.1137,0.0221,0.1553,a2a
outcome_binary,pride_max,405,0.155,0.0018,0.1269,0.0106,0.155,a2a
outcome_binary,fear_mean,405,-0.1525,0.0021,-0.308,0.0,0.1525,a2a
