model,auc,n,admiration_b_mean,admiration_b_std,admiration_b_early,admiration_b_late,admiration_b_delta,admiration_s_mean,admiration_s_std,admiration_s_early,admiration_s_late,admiration_s_delta,admiration_all_mean,admiration_all_std,admiration_all_early,admiration_all_late,admiration_all_delta,admiration_diff_b_minus_s,amusement_b_mean,amusement_b_std,amusement_b_early,amusement_b_late,amusement_b_delta,amusement_s_mean,amusement_s_std,amusement_s_early,amusement_s_late,amusement_s_delta,amusement_all_mean,amusement_all_std,amusement_all_early,amusement_all_late,amusement_all_delta,amusement_diff_b_minus_s,anger_b_mean,anger_b_std,anger_b_early,anger_b_late,anger_b_delta,anger_s_mean,anger_s_std,anger_s_early,anger_s_late,anger_s_delta,anger_all_mean,anger_all_std,anger_all_early,anger_all_late,anger_all_delta,anger_diff_b_minus_s,annoyance_b_mean,annoyance_b_std,annoyance_b_early,annoyance_b_late,annoyance_b_delta,annoyance_s_mean,annoyance_s_std,annoyance_s_early,annoyance_s_late,annoyance_s_delta,annoyance_all_mean,annoyance_all_std,annoyance_all_early,annoyance_all_late,annoyance_all_delta,annoyance_diff_b_minus_s,approval_b_mean,approval_b_std,approval_b_early,approval_b_late,approval_b_delta,approval_s_mean,approval_s_std,approval_s_early,approval_s_late,approval_s_delta,approval_all_mean,approval_all_std,approval_all_early,approval_all_late,approval_all_delta,approval_diff_b_minus_s,caring_b_mean,caring_b_std,caring_b_early,caring_b_late,caring_b_delta,caring_s_mean,caring_s_std,caring_s_early,caring_s_late,caring_s_delta,caring_all_mean,caring_all_std,caring_all_early,caring_all_late,caring_all_delta,caring_diff_b_minus_s,confusion_b_mean,confusion_b_std,confusion_b_early,confusion_b_late,confusion_b_delta,confusion_s_mean,confusion_s_std,confusion_s_early,confusion_s_late,confusion_s_delta,confusion_all_mean,confusion_all_std,confusion_all_early,confusion_all_late,confusion_all_delta,confusion_diff_b_minus_s,curiosity_b_mean,curiosity_b_std,curiosity_b_early,curiosity_b_late,curiosity_b_delta,curiosity_s_mean,curiosity_s_std,curiosity_s_early,curiosity_s_late,curiosity_s_delta,curiosity_all_mean,curiosity_all_std,curiosity_all_early,curiosity_all_late,curiosity_all_delta,curiosity_diff_b_minus_s,desire_b_mean,desire_b_std,desire_b_early,desire_b_late,desire_b_delta,desire_s_mean,desire_s_std,desire_s_early,desire_s_late,desire_s_delta,desire_all_mean,desire_all_std,desire_all_early,desire_all_late,desire_all_delta,desire_diff_b_minus_s,disappointment_b_mean,disappointment_b_std,disappointment_b_early,disappointment_b_late,disappointment_b_delta,disappointment_s_mean,disappointment_s_std,disappointment_s_early,disappointment_s_late,disappointment_s_delta,disappointment_all_mean,disappointment_all_std,disappointment_all_early,disappointment_all_late,disappointment_all_delta,disappointment_diff_b_minus_s,disapproval_b_mean,disapproval_b_std,disapproval_b_early,disapproval_b_late,disapproval_b_delta,disapproval_s_mean,disapproval_s_std,disapproval_s_early,disapproval_s_late,disapproval_s_delta,disapproval_all_mean,disapproval_all_std,disapproval_all_early,disapproval_all_late,disapproval_all_delta,disapproval_diff_b_minus_s,disgust_b_mean,disgust_b_std,disgust_b_early,disgust_b_late,disgust_b_delta,disgust_s_mean,disgust_s_std,disgust_s_early,disgust_s_late,disgust_s_delta,disgust_all_mean,disgust_all_std,disgust_all_early,disgust_all_late,disgust_all_delta,disgust_diff_b_minus_s,embarrassment_b_mean,embarrassment_b_std,embarrassment_b_early,embarrassment_b_late,embarrassment_b_delta,embarrassment_s_mean,embarrassment_s_std,embarrassment_s_early,embarrassment_s_late,embarrassment_s_delta,embarrassment_all_mean,embarrassment_all_std,embarrassment_all_early,embarrassment_all_late,embarrassment_all_delta,embarrassment_diff_b_minus_s,excitement_b_mean,excitement_b_std,excitement_b_early,excitement_b_late,excitement_b_delta,excitement_s_mean,excitement_s_std,excitement_s_early,excitement_s_late,excitement_s_delta,excitement_all_mean,excitement_all_std,excitement_all_early,excitement_all_late,excitement_all_delta,excitement_diff_b_minus_s,fear_b_mean,fear_b_std,fear_b_early,fear_b_late,fear_b_delta,fear_s_mean,fear_s_std,fear_s_early,fear_s_late,fear_s_delta,fear_all_mean,fear_all_std,fear_all_early,fear_all_late,fear_all_delta,fear_diff_b_minus_s,gratitude_b_mean,gratitude_b_std,gratitude_b_early,gratitude_b_late,gratitude_b_delta,gratitude_s_mean,gratitude_s_std,gratitude_s_early,gratitude_s_late,gratitude_s_delta,gratitude_all_mean,gratitude_all_std,gratitude_all_early,gratitude_all_late,gratitude_all_delta,gratitude_diff_b_minus_s,grief_b_mean,grief_b_std,grief_b_early,grief_b_late,grief_b_delta,grief_s_mean,grief_s_std,grief_s_early,grief_s_late,grief_s_delta,grief_all_mean,grief_all_std,grief_all_early,grief_all_late,grief_all_delta,grief_diff_b_minus_s,joy_b_mean,joy_b_std,joy_b_early,joy_b_late,joy_b_delta,joy_s_mean,joy_s_std,joy_s_early,joy_s_late,joy_s_delta,joy_all_mean,joy_all_std,joy_all_early,joy_all_late,joy_all_delta,joy_diff_b_minus_s,love_b_mean,love_b_std,love_b_early,love_b_late,love_b_delta,love_s_mean,love_s_std,love_s_early,love_s_late,love_s_delta,love_all_mean,love_all_std,love_all_early,love_all_late,love_all_delta,love_diff_b_minus_s,nervousness_b_mean,nervousness_b_std,nervousness_b_early,nervousness_b_late,nervousness_b_delta,nervousness_s_mean,nervousness_s_std,nervousness_s_early,nervousness_s_late,nervousness_s_delta,nervousness_all_mean,nervousness_all_std,nervousness_all_early,nervousness_all_late,nervousness_all_delta,nervousness_diff_b_minus_s,optimism_b_mean,optimism_b_std,optimism_b_early,optimism_b_late,optimism_b_delta,optimism_s_mean,optimism_s_std,optimism_s_early,optimism_s_late,optimism_s_delta,optimism_all_mean,optimism_all_std,optimism_all_early,optimism_all_late,optimism_all_delta,optimism_diff_b_minus_s,pride_b_mean,pride_b_std,pride_b_early,pride_b_late,pride_b_delta,pride_s_mean,pride_s_std,pride_s_early,pride_s_late,pride_s_delta,pride_all_mean,pride_all_std,pride_all_early,pride_all_late,pride_all_delta,pride_diff_b_minus_s,realization_b_mean,realization_b_std,realization_b_early,realization_b_late,realization_b_delta,realization_s_mean,realization_s_std,realization_s_early,realization_s_late,realization_s_delta,realization_all_mean,realization_all_std,realization_all_early,realization_all_late,realization_all_delta,realization_diff_b_minus_s,relief_b_mean,relief_b_std,relief_b_early,relief_b_late,relief_b_delta,relief_s_mean,relief_s_std,relief_s_early,relief_s_late,relief_s_delta,relief_all_mean,relief_all_std,relief_all_early,relief_all_late,relief_all_delta,relief_diff_b_minus_s,remorse_b_mean,remorse_b_std,remorse_b_early,remorse_b_late,remorse_b_delta,remorse_s_mean,remorse_s_std,remorse_s_early,remorse_s_late,remorse_s_delta,remorse_all_mean,remorse_all_std,remorse_all_early,remorse_all_late,remorse_all_delta,remorse_diff_b_minus_s,sadness_b_mean,sadness_b_std,sadness_b_early,sadness_b_late,sadness_b_delta,sadness_s_mean,sadness_s_std,sadness_s_early,sadness_s_late,sadness_s_delta,sadness_all_mean,sadness_all_std,sadness_all_early,sadness_all_late,sadness_all_delta,sadness_diff_b_minus_s,surprise_b_mean,surprise_b_std,surprise_b_early,surprise_b_late,surprise_b_delta,surprise_s_mean,surprise_s_std,surprise_s_early,surprise_s_late,surprise_s_delta,surprise_all_mean,surprise_all_std,surprise_all_early,surprise_all_late,surprise_all_delta,surprise_diff_b_minus_s
Logistic_L2,0.9635,405,0.07254,0.02471,0.13943,0.02857,-0.05587,-0.12974,0.12246,0.5981,0.47207,-0.04652,-0.01886,0.40679,0.21711,0.09331,-0.06802,0.17836,-0.02687,-0.03631,0.09908,0.4634,0.34475,0.20356,-0.20188,0.25349,0.19228,0.0291,-0.26152,0.06697,0.34664,0.30977,0.02783,0.4492,-0.03229,0.4553,-0.41309,-0.20275,0.0451,0.11015,-0.02733,0.08561,0.03437,-0.01639,-0.18672,0.1827,0.01878,-0.24605,-0.22853,0.27543,-0.15841,-0.07516,0.12099,-0.44401,-0.45128,0.01808,0.1117,-0.04663,0.00492,0.01226,-0.15758,0.18113,-0.28655,-0.28575,-0.24785,-0.04875,0.45903,0.42772,0.27143,0.37782,0.34072,0.02242,0.40869,-0.41775,0.06753,0.27799,0.2523,0.04635,-0.39987,0.13616,0.29158,0.29805,-0.03522,0.0866,0.04517,-0.02435,-0.04645,0.24277,-0.15638,0.18742,-0.04308,-0.11216,0.05089,0.10048,0.21286,-0.13442,-0.22844,-0.17276,0.10013,0.02587,-0.07903,-0.24873,-0.21544,0.00261,0.18565,-0.24108,0.02012,0.17,0.02505,0.20305,-0.10529,-0.12392,-0.0757,0.16026,0.26009,0.12351,-0.03083,0.26443,0.24617,0.37496,-0.29138,-0.04974,0.02124,0.05401,0.24452,0.28698,0.0263,-0.01153,-0.0279,0.17693,-0.04443,0.32426,-0.2179,-0.29657,-0.01542,0.37422,0.11398,-0.10221,-0.08005,-0.05329,0.04891,0.02269,-0.21907,-0.3442,-0.12504,-0.14087,0.04659,-0.09671,-0.01222,-0.129,-0.12833,-0.18891,-0.19057,0.1181,0.06599,0.05476,-0.00852,-0.03261,-0.10797,-0.07197,-0.05597,0.14642,-0.07958,-0.05731,-0.03378,-0.21704,-0.21544,-0.16938,-0.10752,0.49859,-0.26008,-0.28729,-0.16126,0.05592,0.01653,-0.27809,-0.27787,0.07522,-0.05383,0.32874,-0.0782,-0.21896,-0.20527,-0.15141,0.06264,0.14774,-0.1715,-0.23555,-0.2228,0.22111,0.00978,-0.09721,-0.10103,0.26939,-0.16739,0.13028,-0.32674,-0.31202,-0.24607,0.01908,0.24152,0.05985,0.1955,0.18094,-0.18398,0.28997,-0.22867,-0.13499,-0.08098,0.02377,-0.19418,0.20318,0.32847,0.19626,-0.03321,0.243,0.42453,0.24932,0.30457,-0.07233,-0.29332,0.20732,0.08432,0.04893,-0.02682,0.02783,-0.03477,-0.05095,-0.11126,-0.00449,-0.00236,-0.01204,-0.04908,0.0168,-0.02422,-0.02908,-0.04184,-0.05081,0.02913,0.07948,0.07823,-0.02404,-0.0587,-0.01868,0.00219,-0.26524,-0.30267,0.05802,-0.25979,0.20717,0.2374,-0.00166,-0.10537,0.01242,0.12158,0.10077,-0.01551,0.08987,0.1211,0.11686,-0.10267,-0.17484,-0.15238,-0.12503,-0.09539,-0.1069,-0.04122,-0.03132,-0.02771,0.08477,0.03617,-0.13698,-0.14922,0.31939,0.15807,0.11314,-0.21734,0.31637,0.32763,-0.08824,0.26788,0.04597,-0.20616,-0.17139,-0.01239,0.04152,0.44506,0.13344,-0.10923,0.18823,-0.00665,-0.10649,-0.10238,0.2053,0.13874,0.14404,0.02894,0.16521,0.06276,0.01834,0.02989,-0.06179,0.19807,0.00542,-0.18784,-0.02883,-0.06987,-0.09266,0.07263,-0.0303,-0.03575,0.10442,-0.29305,0.23031,-0.00233,-0.09465,-0.10036,-0.09497,0.28746,-0.01084,-0.04675,-0.01573,-0.11354,0.14467,0.26923,0.08039,-0.20859,0.23855,-0.42651,-0.12779,-0.14418,-0.06076,-0.095,0.31217,0.43103,-0.19625,-0.45179,0.00357,-0.02485,-0.1012,0.44247,-0.0005,-0.12711,-0.02977,-0.16769,-0.25728,0.10748,0.28245,-0.08884,-0.16236,0.03773,0.03528,0.0113,0.06762,-0.1679,-0.22704,0.00147,-0.73332,-0.70978,0.01769,0.06129,0.05725,-0.19414,-0.20627,-0.17823,0.03707,-0.31918,-0.50668,-0.40963,-0.02916,-0.01862,-0.04519,-0.13496,-0.01795,0.03945,0.16232,-0.00575,-0.123,0.1083,0.17512,0.01294,0.03002,-0.17575,0.09966,0.19152,-0.04878,0.09782,0.09561,-0.28156,0.03469,0.06179,0.04057,0.05143,-0.18097,0.03451,0.04128,0.10889,0.15238,-0.06593,-0.0134,-0.0051,0.07312,-0.01123,-0.03737,-0.0757,-0.10873,-0.09926,-0.04691,-0.05249,-0.23476,-0.01427,-0.00974,-0.03663,-0.03909,-0.52868,-0.10287,-0.08008,0.04201,-0.10279,-0.11851,0.09872,0.3575,-0.05198,-0.02604,-0.62292,0.29918,0.2218,-0.08613,-0.21861,-0.06131,0.144,0.15379,-0.12269,0.24271
Ridge_logit,0.9673,405,0.06498,0.05212,0.08243,0.01198,-0.03708,-0.0045,0.08694,0.22117,0.18783,-0.00574,0.04659,0.15163,0.10854,0.06718,-0.01693,0.05362,0.04325,0.00226,0.03333,0.23239,0.18348,0.09174,-0.08538,0.08827,0.08485,0.02626,-0.07897,0.05233,0.12051,0.16273,0.05601,0.24856,0.00265,0.22789,-0.15566,-0.10812,-0.01042,0.01827,-0.05194,0.03022,0.00431,-0.01325,-0.0955,0.09706,0.01573,-0.12386,-0.11867,0.16024,-0.08439,-0.02881,0.02918,-0.23652,-0.23764,-0.03122,-0.00231,0.00788,-0.03379,-0.03522,-0.09994,0.03624,-0.13438,-0.16981,-0.15171,-0.00517,0.19643,0.20273,0.13844,0.19493,0.17602,0.02116,0.15842,-0.15704,0.05385,0.13237,0.11888,0.05165,-0.16879,0.11548,0.18315,0.11932,-0.01375,0.02785,0.02422,-0.01716,-0.02831,0.07856,-0.05905,0.09244,-0.03783,-0.07246,0.00898,0.02267,0.106,-0.0607,-0.10824,-0.04523,0.02791,0.00476,-0.0241,-0.08698,-0.0766,0.02406,0.07483,-0.06351,0.00081,0.04072,0.01222,0.0698,0.00598,-0.07135,-0.07034,0.04566,0.10194,0.03925,-0.02763,0.1076,0.10962,0.14479,-0.13313,-0.03608,0.04575,0.06375,0.08337,0.12269,0.00895,-0.00213,-0.00791,0.08777,-0.03764,0.06555,-0.09537,-0.1357,-0.01057,0.14074,0.05662,-0.03416,-0.00925,-0.00074,-0.00667,-0.01113,-0.07069,-0.16127,-0.08024,-0.05845,0.01644,-0.00634,-0.00425,-0.07858,-0.07833,-0.06657,-0.076,0.03903,0.02934,0.02562,-0.00669,0.00622,-0.07834,-0.0336,-0.0222,0.0531,-0.0452,-0.02366,0.01005,-0.13354,-0.13375,-0.08868,-0.06582,0.19155,-0.11063,-0.12107,-0.08464,-0.00439,-0.01022,-0.14747,-0.14603,0.03551,-0.04043,0.13945,-0.03432,-0.13668,-0.13072,-0.09338,-0.03174,0.03184,-0.09785,-0.10992,-0.12432,0.08726,-0.00416,-0.08633,-0.08655,0.11849,-0.10033,0.06166,-0.12139,-0.1863,-0.16203,-0.00757,0.08128,0.02039,0.04972,0.04484,-0.11316,0.11314,-0.11721,-0.10947,-0.08229,0.00073,-0.0883,0.04677,0.11549,0.11741,0.02817,0.11871,0.17994,0.13104,0.12654,-0.05541,-0.12478,0.06369,0.04649,0.05054,0.00172,0.00367,-0.00748,-0.01569,-0.04143,-0.01474,-0.01393,-0.00378,-0.01878,0.00539,-0.01044,-0.01181,-0.0112,-0.01564,0.0155,0.01771,0.01709,-0.00294,-0.05163,-0.05265,-0.03134,-0.14526,-0.13291,0.0302,-0.08969,0.07258,0.08032,-0.00274,-0.06111,-0.0515,0.01791,0.01477,-0.00237,0.00707,0.01548,0.02849,-0.04382,-0.08849,-0.07947,-0.04744,-0.04701,-0.00868,-0.02485,-0.02465,-0.03736,0.00907,0.00793,-0.07715,-0.08067,0.10613,0.1039,0.08317,-0.09594,0.14561,0.15058,-0.03072,0.09581,0.03653,-0.06509,-0.07301,0.02701,0.03503,0.16234,0.08233,-0.01023,0.09426,-0.02014,-0.05246,-0.05456,0.0679,0.06683,0.07151,0.0102,0.08395,0.03767,0.01493,-0.00181,-0.03661,0.06538,0.01288,-0.05852,-0.03156,-0.02312,-0.02954,0.00396,-0.02716,-0.02717,0.06369,-0.07422,0.1072,0.01487,-0.0281,-0.03452,-0.02607,0.10375,-0.01968,-0.03239,-0.00319,-0.01868,0.08221,0.09698,0.00826,-0.083,0.10195,-0.13489,-0.03001,-0.06498,-0.04383,-0.01656,0.16028,0.19255,-0.09683,-0.20561,0.02594,0.00883,-0.03695,0.16527,-0.00576,-0.05266,-0.01833,-0.09548,-0.08627,0.06283,0.11533,-0.02655,-0.05754,0.03733,0.03218,0.00883,0.04613,-0.10606,-0.13331,0.02607,-0.32234,-0.31697,0.01127,0.03628,0.0483,-0.0931,-0.10283,-0.10253,-0.0162,-0.14072,-0.2454,-0.20192,-0.04222,-0.00447,-0.01505,-0.05435,0.00481,0.02767,0.06052,0.01145,-0.02227,0.0401,0.04869,0.00446,6e-05,-0.07402,0.03843,0.07744,-0.00917,0.04709,0.07345,-0.08817,0.03922,0.04793,0.04772,0.05397,-0.05507,0.02871,0.03078,0.0684,0.10444,-0.04325,0.02165,0.02713,0.01398,-0.02261,-0.02356,-0.02903,-0.0593,-0.05642,-0.02243,-0.03346,-0.06399,-0.01224,-0.01107,-0.03293,-0.03287,-0.23923,-0.05983,-0.04972,0.00666,-0.0443,-0.03488,0.03415,0.15893,-0.01363,0.01353,-0.22403,0.10386,0.08479,-0.02384,-0.09564,-0.01326,0.0363,0.07409,-0.02675,0.10228
LASSO_logit,0.9618,405,0.14683,0.03987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09881,0.0,0.0,0.0,0.0,0.0,-0.56359,0.0,0.0,0.0,0.0,0.0,0.0,-0.35075,0.0,0.0,-0.35454,0.0,0.0,0.0,0.00192,0.0,0.42594,0.0,0.0,0.0,0.0,0.0,0.0,0.31573,0.0,0.0,0.0,0.13823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08585,0.0,0.0,0.0,0.0,-0.05979,-0.01497,-0.18789,0.0,0.0,-0.18648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07435,-0.15463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
