conversation_id,sale,last_buyer,last_seller,price_gap,initial_gap,buyer_movement,seller_movement,n_offers,n_allowances,midpoint,z_1_mean,z_1_std,z_1_last,z_1_slope,z_1_diverge,z_2_mean,z_2_std,z_2_last,z_2_slope,z_2_diverge,z_3_mean,z_3_std,z_3_last,z_3_slope,z_3_diverge,z_4_mean,z_4_std,z_4_last,z_4_slope,z_4_diverge,new_offer,repeat,push,comparison,allowance,push_constraint,push_disparagement,push_neutral,comparison_price,comparison_quality,comparison_mixed,buyer_push_rate,buyer_comparison_rate,buyer_allowance_rate,seller_push_rate,seller_comparison_rate,seller_allowance_rate,push_then_comp
22,0,230,230,0,10,0,0,3,1,230.0,-0.16219084615384613,0.08180546806207285,-0.2036066,-0.011504428571428573,0.08361416666666666,0.8035936923076922,0.28109324512079503,0.6531204,-0.021952241758241724,0.3201568333333334,0.268925,0.6715001307814773,-0.08922019999999994,-0.08293790109890113,0.646591,0.11819253846153847,0.6648563905325657,0.38315620000000006,0.06991824175824177,0.6213905,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0
39,1,155,230,75,75,0,0,3,1,192.5,-0.8088674666666666,0.24646764785018285,-0.8086726000000001,-0.012709128571428571,0.19703971428571432,2.307020666666667,1.060340970452292,2.2642746000000002,0.07797021071428575,0.6048721428571427,-0.8725338666666667,0.6626719264478369,-0.6262614,0.08374054285714283,0.3692891428571429,1.1713424,1.4569753877332363,1.1959142,-0.14933357142857134,0.6827824285714287,0.2,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.375,0.25,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.13333333333333333
51,1,245,220,25,50,25,0,3,3,232.5,-0.9434829999999998,1.0414684875447524,-0.0683424,0.12120226923076924,0.5138966666666666,0.6615218461538461,0.7500479506192694,0.368276,-0.11502464285714283,0.40541366666666656,-0.42520276923076933,1.0885007770178672,0.33414639999999995,0.0941982747252747,0.5616171666666667,-0.7933481538461538,0.7472193360406155,-0.1887062,0.09762543406593398,0.4221741666666667,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.0,0.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.5,0.16666666666666666,0.07692307692307693
66,1,220,230,10,10,0,0,4,0,225.0,-0.341285,0.24968973944970457,-0.095887,0.035534749999999955,0.175634,1.5208227777777779,0.874257526314244,0.8762793333333333,-0.04133589999999983,0.6237235,0.14945677777777772,0.6112842126193304,0.6535709999999999,0.1520370499999999,0.401713,0.6668918888888888,0.8633970347362636,-0.24864099999999997,-0.19373794999999985,0.54079125,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0.4,0.2,0.0,0.5,0.5,0.0,0.1111111111111111
67,0,190,230,40,50,0,0,4,1,210.0,-0.18822733333333333,0.1508127919006805,-0.2900606,-0.02480692857142857,0.06941185714285715,1.1113167333333334,0.6857745188807222,1.295255,0.08565067857142858,0.3111667142857143,0.4322399333333332,0.5362317120209911,0.11716799999999998,-0.020821274999999993,0.22615128571428572,0.08248186666666665,0.4847967682605954,0.5276797999999999,0.06502147142857141,0.15500585714285714,0.26666666666666666,0.0,0.4,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.5,0.125,0.125,0.2857142857142857,0.0,0.0,0.06666666666666667
70,0,230,230,0,10,0,0,2,0,230.0,-0.2821675714285714,0.23734842068043957,-0.033859,0.09903764285714285,0.18995599999999999,1.2419588571428573,1.055190232997247,0.149155,-0.47814492857142854,0.7121056666666666,0.2559411428571429,0.3459177105459241,0.004582,-0.1491941071428572,0.11164333333333333,0.27744585714285713,0.21267725767989143,0.068514,-0.06583700000000003,0.13494033333333333,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
90,1,226,227,1,0,7,8,9,1,226.5,-1.7278824166666666,1.6125571135332253,-2.659357,-0.07885242998712999,0.3845511666666666,0.6618603611111111,0.7733675520727684,1.04244,0.011057661389961405,0.28760994444444443,-1.8810723888888892,1.498326934629681,-1.5853224166666668,-0.010806670785070825,0.6199126666666667,-1.3015987777777775,2.4586158558973765,-3.8745360833333335,-0.18707156782496778,0.7575857777777778,0.25,0.3611111111111111,0.3888888888888889,0.3055555555555556,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.08333333333333333,0.2777777777777778,0.1111111111111111,0.0,0.5,0.5,0.05555555555555555,0.25
100,1,230,229,1,1,0,0,3,1,229.5,-0.2527986923076923,0.13831206081091346,-0.12161,0.009171239658119654,0.10576483333333335,1.0538233846153846,0.5744022622696012,0.7496391111111111,0.005141049572649579,0.4856701666666667,-0.3326624230769231,1.1282843719831759,-0.13905755555555555,0.038451008205128215,0.8907728333333332,-0.1350940769230769,1.5057497131736237,-1.0566054444444444,-0.12540442324786327,1.024125083333333,0.11538461538461539,0.038461538461538464,0.2692307692307692,0.19230769230769232,0.038461538461538464,0.038461538461538464,0.0,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.25,0.16666666666666666,0.0,0.11538461538461539
101,0,230,230,0,10,0,0,5,0,230.0,-0.25884053333333334,0.19425858289060202,-0.19569746666666668,-0.001799763636363638,0.14053863636363637,0.9360522666666665,0.5842430024570922,0.7372308666666666,-0.0006547266139657429,0.4702754545454546,0.18593846666666666,0.8223461858523353,-0.3688345333333333,-0.034671659683794466,0.547125590909091,-0.35117804444444445,1.0185997943515916,-0.8379904666666668,-0.00780236179183136,0.7505095,0.1111111111111111,0.022222222222222223,0.022222222222222223,0.2,0.0,0.0,0.0,0.022222222222222223,0.13333333333333333,0.044444444444444446,0.022222222222222223,0.0,0.09090909090909091,0.0,0.043478260869565216,0.30434782608695654,0.0,0.0
104,1,232,230,2,8,0,0,3,1,231.0,-0.545257125,0.5427355857419854,-0.15093033333333333,0.02848875882352943,0.24101050000000002,0.380351875,0.3929226165216079,0.16992283333333333,-0.030899132352941155,0.19103725,-0.8336977499999999,1.0075920695953315,-1.42563,-0.01706574117647059,0.5528139999999999,-0.20296356250000003,1.509309306896223,-1.5570351666666664,-0.2867825867647059,0.517783625,0.1875,0.0,0.0625,0.1875,0.0625,0.0,0.0,0.0625,0.0625,0.125,0.0,0.0,0.25,0.0,0.125,0.125,0.125,0.0
105,0,220,237,17,20,3,0,6,1,228.5,-1.1541022352941177,1.0866486480175315,-1.1929091666666667,-0.05591598039215689,1.08106825,1.8695965882352943,0.7166668705749536,2.030981166666667,0.06046474264705883,0.76888175,-2.1164352352941176,2.52637190297914,-1.1610483333333332,-0.006685384803921583,2.59950525,-0.3771612941176471,2.188928710240956,-2.7544291666666663,-0.33146787254901955,1.8482405000000002,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.35294117647058826,0.058823529411764705,0.0,0.0,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.125,0.375,0.0,0.23529411764705882
124,1,231,230,1,10,1,10,6,1,230.5,-1.063169625,0.7067380301617212,-0.9734743333333333,0.03643870588235293,0.38061399999999995,1.503192375,1.1623006062787162,2.6869973333333337,0.14698647647058827,0.45651625,-0.9222836249999999,1.7288940825212487,-2.570430833333333,-0.30650433235294117,0.5913667499999999,-0.7773829375,0.7279577064244273,-0.41820283333333336,0.00599228088235293,0.5864188750000001,0.375,0.25,0.0,0.125,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.125,0.125,0.0,0.125,0.0,0.0
