conversation_id,turn,outcome,z_1,z_2,z_3,z_4
90,21,sale,-3.646029,-0.040627,-3.054606,-2.912809
90,22,sale,-2.421586,0.084301,-2.140524,-1.006439
90,23,sale,-2.43135,0.290866,-2.039207,-0.89782
90,24,sale,-3.660275,0.558898,-2.372609,-2.542736
90,25,sale,-4.796424,0.829342,-2.878728,-4.589497
90,26,sale,-4.990015,0.750955,-2.808318,-4.988501
90,27,sale,-4.869945,0.304838,-2.606488,-4.568683
90,28,sale,-4.576187,0.32714,-2.185608,-4.43256
90,29,sale,-3.496733,0.991582,-1.567502,-4.894706
90,30,sale,-2.048868,1.607026,-1.27042,-5.151476
90,31,sale,-0.931867,1.818257,-1.567675,-4.74889
90,32,sale,-0.656219,1.794118,-1.575938,-4.324813
90,33,sale,-0.645087,1.699732,-0.678402,-3.269424
90,34,sale,-0.656185,1.208015,0.00924,-2.128188
90,35,sale,-0.584479,0.619377,0.478579,-0.854959
100,0,sale,-0.278172,0.4118,-1.152573,1.649991
100,1,sale,-0.446205,0.581578,-1.840081,2.539111
100,2,sale,-0.504996,0.633875,-2.021246,2.775218
100,3,sale,-0.399629,0.516697,-1.537403,2.133191
100,4,sale,-0.207535,0.384986,-0.656379,1.001571
100,5,sale,-0.109277,0.64064,0.243173,0.081473
100,6,sale,-0.142321,1.078676,0.730296,-0.310733
100,7,sale,-0.177242,1.29055,0.850036,-0.386296
100,8,sale,-0.205909,1.464624,0.87065,-0.297784
100,9,sale,-0.317753,1.905932,0.805182,0.095733
100,10,sale,-0.423596,2.22583,0.69125,0.486446
100,11,sale,-0.393693,1.887241,0.340893,0.697137
100,12,sale,-0.264916,1.278532,-0.008521,0.668234
100,13,sale,-0.368491,1.589874,-0.256254,0.676636
100,14,sale,-0.473208,1.878468,-0.852415,-0.364423
100,15,sale,-0.45122,1.802766,-1.433847,-2.108553
100,16,sale,-0.314113,1.080587,-2.170466,-3.339949
100,17,sale,-0.175108,0.269163,-2.597685,-3.23066
100,18,sale,-0.092662,0.060277,-1.951536,-2.366078
100,19,sale,-0.104147,0.575123,-0.53603,-1.414381
100,20,sale,-0.110699,1.126908,0.691197,-0.741459
100,21,sale,-0.11711,1.186743,0.880535,-0.549668
100,22,sale,-0.082252,0.823037,0.605605,-0.340364
100,23,sale,-0.065184,0.553669,0.3257,-0.176038
100,24,sale,-0.13043,0.850453,0.504041,-0.261168
100,25,sale,-0.216898,1.301379,0.826655,-0.429633
101,0,no sale,-0.166785,1.692643,1.58254,-0.888712
101,1,no sale,-0.210498,2.179714,1.975431,-1.054592
101,2,no sale,-0.142389,1.609271,1.480196,-0.791842
101,3,no sale,-0.058421,0.908651,0.85826,-0.4615
101,4,no sale,-0.050214,0.772913,0.724919,-0.387105
101,5,no sale,-0.084967,0.977128,0.890536,-0.471314
101,6,no sale,-0.084868,0.932541,0.841938,-0.443925
101,7,no sale,-0.044619,0.566748,0.510665,-0.266242
101,8,no sale,-0.011893,0.202937,0.175886,-0.081539
101,9,no sale,-0.029671,0.17601,0.088348,-0.003524
101,10,no sale,-0.068044,0.223848,0.055684,0.045441
101,11,no sale,-0.13683,0.218071,0.02985,0.058617
101,12,no sale,-0.372627,0.15924,-0.047675,0.025218
101,13,no sale,-0.6112,0.123605,-0.14497,-0.036776
101,14,no sale,-0.729032,0.267726,-0.150633,-0.163445
101,15,no sale,-0.688602,0.777146,0.141379,-0.36655
101,16,no sale,-0.554211,1.364086,0.553874,-0.545605
101,17,no sale,-0.457611,1.791027,0.991059,-0.681452
101,18,no sale,-0.308927,1.717885,1.13831,-0.631667
101,19,no sale,-0.205651,1.240386,0.866451,-0.440053
101,20,no sale,-0.247319,0.824471,0.354737,-0.191898
101,21,no sale,-0.330036,0.609142,-0.065755,0.006163
101,22,no sale,-0.362304,0.895744,0.186458,-0.125033
101,23,no sale,-0.281725,1.233876,0.738088,-0.383259
101,24,no sale,-0.189051,1.533008,1.198355,-0.545878
101,25,no sale,-0.194349,1.60476,1.089782,-0.333565
101,26,no sale,-0.33547,1.573779,0.278201,0.581826
101,27,no sale,-0.59539,1.837422,-0.620649,1.710822
101,28,no sale,-0.715093,1.860076,-1.09636,2.2007
101,29,no sale,-0.444565,1.190035,-0.725156,1.433534
101,30,no sale,-0.147476,0.490349,-0.29076,0.575604
101,31,no sale,-0.06663,0.283357,-0.152294,0.290771
101,32,no sale,-0.032247,0.163735,-0.091016,0.127116
101,33,no sale,-0.042071,0.12533,-0.10474,-0.032313
101,34,no sale,-0.063414,0.234364,-0.235861,-0.318438
101,35,no sale,-0.14329,0.569978,-0.816309,-1.43801
101,36,no sale,-0.269026,1.020705,-1.690611,-3.226589
101,37,no sale,-0.382173,1.294546,-1.934898,-3.814105
101,38,no sale,-0.397098,1.122825,-1.388341,-2.717124
101,39,no sale,-0.31368,0.671424,-0.676402,-1.13602
101,40,no sale,-0.217858,0.431656,-0.214438,-0.163499
101,41,no sale,-0.155739,0.529633,0.022749,0.075221
101,42,no sale,-0.182693,0.991564,0.398025,-0.051925
101,43,no sale,-0.230334,1.45833,0.761948,-0.292833
101,44,no sale,-0.291733,1.670667,0.88043,-0.447713
104,0,sale,-0.232898,0.377007,-0.906814,1.329135
104,1,sale,-0.399178,0.542411,-1.620989,2.251658
104,2,sale,-0.508862,0.677109,-1.930059,2.682555
104,3,sale,-0.476587,0.702929,-1.457393,2.08163
104,4,sale,-0.429192,0.865214,-0.388672,0.849581
104,5,sale,-0.595069,0.9679,0.522731,-0.089683
104,6,sale,-1.485349,0.578048,0.890639,-0.478918
104,7,sale,-2.040781,0.235254,0.954092,-0.6584
104,8,sale,-1.228232,0.162037,0.336512,-0.608003
104,9,sale,-0.422384,-0.041816,-1.185431,-1.264761
104,10,sale,-0.22847,-0.183298,-2.207585,-1.966088
104,11,sale,-0.157607,-0.209297,-2.256957,-1.996027
104,12,sale,-0.063661,-0.130214,-1.463627,-1.379282
104,13,sale,-0.044943,0.068118,-0.913433,-0.953319
104,14,sale,-0.149055,0.505409,-0.925742,-1.33004
104,15,sale,-0.261846,0.968819,-0.786436,-1.717455
105,0,no sale,-0.245451,0.456493,-0.860037,1.32165
105,1,no sale,-0.322411,0.636862,-1.0633,1.666606
105,2,no sale,-0.361296,1.115473,-0.609495,1.412422
105,3,no sale,-0.468286,1.946987,-0.026671,1.197379
105,4,no sale,-0.633383,2.665483,-0.014801,1.503329
105,5,no sale,-0.667024,2.245298,-1.10589,2.163212
105,6,no sale,-0.70917,1.537981,-2.815359,1.9027
105,7,no sale,-0.975222,1.554918,-4.330851,1.086599
105,8,no sale,-1.660213,2.446906,-5.48754,0.496525
105,9,no sale,-2.811542,2.761098,-6.428202,-0.551079
105,10,no sale,-3.608285,2.229756,-6.270963,-2.08451
105,11,no sale,-3.27286,1.816688,-5.46052,-3.948745
105,12,no sale,-2.041377,2.245984,-3.27779,-4.635224
105,13,no sale,-1.005301,2.844246,-0.849412,-3.806512
105,14,no sale,-0.524255,2.559431,0.623604,-2.490917
105,15,no sale,-0.221954,1.752658,1.194141,-1.103636
105,16,no sale,-0.091708,0.96688,0.803687,-0.541541
124,0,sale,-0.245294,1.493188,0.94397,-0.243608
124,1,sale,-0.820499,2.102623,1.298178,-0.621012
124,2,sale,-1.861687,1.666762,1.521659,-0.912125
124,3,sale,-2.607214,0.646872,1.302437,-0.944964
124,4,sale,-2.472957,-0.271192,0.761062,-0.725294
124,5,sale,-1.557098,-0.375573,0.19993,-0.580745
124,6,sale,-0.563943,0.250756,-0.591515,-1.26237
124,7,sale,-0.33296,0.641643,-1.415483,-2.233327
124,8,sale,-0.31142,0.814861,-1.661657,-2.024337
124,9,sale,-0.396796,0.959154,-1.692534,-0.381128
124,10,sale,-0.685724,1.518708,-2.594562,0.79473
124,11,sale,-1.001858,2.468852,-3.491907,0.31604
124,12,sale,-1.17557,3.304467,-3.70001,-0.658989
124,13,sale,-1.144746,3.366603,-3.106744,-1.236088
124,14,sale,-0.988976,2.917159,-1.890139,-1.095757
124,15,sale,-0.843972,2.546195,-0.639223,-0.629153
129,0,sale,-0.125512,1.21712,1.12356,-0.623548
129,1,sale,-0.160212,1.949334,1.79462,-1.005996
129,2,sale,-0.177756,2.281362,2.086461,-1.18066
129,3,sale,-0.145942,1.928493,1.702703,-0.944129
129,4,sale,-0.119536,1.247537,0.817337,-0.337564
129,5,sale,-0.25585,1.185666,0.092021,0.442379
129,6,sale,-0.397245,1.504612,-0.114211,0.875395
129,7,sale,-0.382783,1.505457,-0.021217,0.828334
