fold,n_train,n_test,auc,accuracy
1,140,35,0.4375,0.5714285714285714
2,140,35,0.7016129032258065,0.6571428571428571
3,140,35,0.5483870967741935,0.45714285714285713
4,140,35,0.5161290322580645,0.6571428571428571
5,140,35,0.6129032258064516,0.6857142857142857
