fold,n_train,n_test,auc,accuracy
1,140,35,0.552,0.4857142857142857
2,140,35,0.43599999999999994,0.45714285714285713
3,140,35,0.5492424242424242,0.6285714285714286
4,140,35,0.5681818181818182,0.6
5,140,35,0.2992424242424242,0.45714285714285713
