fold,n_train,n_test,auc,accuracy
1,140,35,0.4673202614379085,0.4
2,140,35,0.5228758169934641,0.4857142857142857
3,140,35,0.5915032679738562,0.5428571428571428
4,140,35,0.4313725490196078,0.4
5,140,35,0.49673202614379086,0.4857142857142857
