fold,n_train,n_test,auc,accuracy
1,140,35,0.472,0.5428571428571428
2,140,35,0.612,0.6
3,140,35,0.5946969696969697,0.5714285714285714
4,140,35,0.48484848484848486,0.5428571428571428
5,140,35,0.5,0.4
