fold,n_train,n_test,auc,accuracy
1,140,35,0.8039999999999999,0.6857142857142857
2,140,35,0.788,0.6857142857142857
3,140,35,0.772,0.7428571428571429
4,140,35,0.9230769230769231,0.8285714285714286
5,140,35,0.764957264957265,0.6571428571428571
