fold,n_train,n_test,auc,accuracy
1,140,35,0.44755244755244755,0.4857142857142857
2,140,35,0.4195804195804196,0.4
3,140,35,0.6048951048951049,0.5714285714285714
4,140,35,0.47202797202797203,0.5142857142857142
5,140,35,0.5034965034965035,0.4857142857142857
