target,status,n,n_0,n_1,n_splits,mean_cv_auc,overall_auc,accuracy,precision,recall,f1
M1,ok,175,122,53,5,0.5327090909090909,0.5303124033405505,0.5314285714285715,0.3116883116883117,0.4528301886792453,0.36923076923076925
M2,ok,175,156,19,5,0.5633064516129032,0.5721997300944669,0.6057142857142858,0.12121212121212122,0.42105263157894735,0.18823529411764706
M3,ok,175,122,53,5,0.4809333333333334,0.47958552428085366,0.5257142857142857,0.32558139534883723,0.5283018867924528,0.4028776978417266
M4,ok,175,89,86,5,0.5019607843137255,0.4954272275934153,0.46285714285714286,0.44871794871794873,0.4069767441860465,0.4268292682926829
M5,ok,175,48,127,5,0.8104068376068376,0.8034776902887139,0.72,0.8823529411764706,0.7086614173228346,0.7860262008733624
M6,ok,175,110,65,5,0.4895104895104895,0.47944055944055947,0.49142857142857144,0.34615384615384615,0.4153846153846154,0.3776223776223776
