conversation_id,sale,last_buyer,last_seller,price_gap,initial_gap,buyer_movement,seller_movement,n_offers,n_allowances,midpoint,z_1_mean,z_1_std,z_1_last,z_1_slope,z_1_diverge,z_2_mean,z_2_std,z_2_last,z_2_slope,z_2_diverge,z_3_mean,z_3_std,z_3_last,z_3_slope,z_3_diverge,z_4_mean,z_4_std,z_4_last,z_4_slope,z_4_diverge,new_offer,repeat,push,comparison,allowance,end,push_constraint,push_disparagement,push_neutral,comparison_price,comparison_quality,comparison_mixed,buyer_push_rate,buyer_comparison_rate,buyer_allowance_rate,seller_push_rate,seller_comparison_rate,seller_allowance_rate,push_then_comp
10057_56,0,85.0,6.0,79.0,79.0,0.0,0.0,2.0,0.0,45.5,0.24114700000000003,1.509225702443723,-1.4662366666666664,-0.19781552696078425,1.4066527142857144,-0.2580260588235294,0.2693131754232497,-0.6027055,-0.04915017401960783,0.24312471428571428,1.5175594705882351,0.7153148212553717,2.0730801666666667,0.10733571323529409,0.5606952857142857,1.4722242352941177,0.45796689568748894,1.1120998333333334,-0.027969512254901976,0.6397061428571431,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
10521_24,0,12.0,8.0,4.0,3.0,7.0,0.0,2.0,0.0,10.0,0.7917485625,0.7764531131862107,-0.10340383333333335,-0.11872967500000002,0.2782873750000001,-0.18779637500000002,0.2307583274868446,-0.3776968333333333,-0.02390185294117647,0.152954,1.3498133124999998,0.5485164302725292,1.5108971666666664,0.04076902794117646,0.20960112499999997,1.663804625,0.5476052695879257,1.1405021666666668,-0.05659807058823528,0.24260175000000003,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10523_13,0,10.0,9.0,1.0,1.0,2.0,0.0,1.0,0.0,9.5,0.5837662857142858,0.7745620644380852,0.9660461999999999,-0.01961059340659343,0.3936968571428571,-0.783675142857143,1.1953696792887731,-0.38169620000000004,-0.050565112087912104,0.5345177142857142,0.8350792857142857,0.680135150886451,1.1069616,-0.011574659340659323,0.4413679999999999,1.5041265,0.7721109613008338,2.0167058,0.022585839560439577,0.502233,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10527_90,1,6.0,84.0,78.0,78.0,156.0,0.0,2.0,0.0,45.0,1.1352444736842104,0.3749027519310336,0.8209887142857143,-0.05269865964912283,0.20518566666666663,-0.29021463157894745,0.28033090507340025,-0.5243317142857142,-0.037210322807017554,0.1418791111111111,0.8019503157894736,0.3242954377607562,0.4976212857142857,-0.03411914912280706,0.1432047777777778,1.7765321578947373,0.5064801212140497,1.4888332857142859,-0.0493357719298246,0.31655533333333336,0.10526315789473684,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10532_25,1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.091715842105263,0.6214947921188647,0.6601210000000001,-0.08011154385964914,0.24854899999999994,-0.14690805263157897,0.3771757398616673,-0.5027647142857143,-0.059013243859649143,0.11081188888888889,1.1063304210526315,0.4345012832477639,0.7673144285714286,-0.04795237543859652,0.20677511111111113,2.027566842105263,0.7846902859233476,1.541556142857143,-0.08214611929824564,0.35986111111111113,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
10542_28,0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,-0.186941,1.4208839279630403,-0.482026,-0.18599380769230772,0.6357778333333333,-0.6608554615384615,0.3588161049036997,-0.8968332,-0.0757086098901099,0.1610778333333333,0.9796009999999999,0.31886676978364864,0.797185,-0.03256396703296703,0.1627083333333333,0.9575586923076924,0.9135360669697026,0.7187042,-0.12645262087912085,0.5507489999999999,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
1056743_80,1,25.0,50.0,25.0,25.0,50.0,0.0,2.0,0.0,37.5,1.3853164444444444,0.6861218770409817,0.5800471666666668,-0.11222636326109386,0.254554625,-0.15973566666666666,0.24839094893207048,-0.41742983333333333,-0.025437659442724452,0.10035100000000001,1.033036,0.30523020360112096,0.7047884999999999,-0.03795547368421049,0.140396,2.0518284444444443,0.633385814519666,1.3680536666666667,-0.08014381630546942,0.279342875,0.1111111111111111,0.05555555555555555,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
10579_4,0,25.0,20.0,5.0,5.0,10.0,0.0,1.0,0.0,22.5,-0.6265964285714285,1.1718314392512208,-1.6114642000000003,-0.2062695648351649,0.47195171428571425,-1.1112477142857142,0.8608590446469898,-0.9569866000000001,-0.05012036923076924,0.3799054285714286,0.18182642857142858,0.7358881054279194,0.6022795999999999,0.010108175824175825,0.4080408571428572,0.14082607142857145,0.729382867265693,-0.3150542,-0.1243204813186813,0.2618358571428571,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058872163_53,1,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.8327685789473683,0.43941622985039674,0.37943242857142856,-0.04762642456140353,0.19034099999999998,-0.26417605263157895,0.37456981659747646,-0.6600105714285714,-0.05069349298245615,0.09844855555555555,0.8010926842105264,0.43253619939496996,0.38216600000000006,-0.03799238771929827,0.1195428888888889,1.541093315789474,0.5844445980257916,1.003515,-0.045311382456140366,0.17540466666666665,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065427881_67,1,180.0,8.0,172.0,0.0,172.0,0.0,2.0,0.0,94.0,1.0730459047619045,0.5382897554255252,0.6964741428571429,-0.059007980519480495,0.25487590000000004,-0.22332533333333332,0.5032653592387617,-0.7164658571428572,-0.05710445194805194,0.16628119999999996,0.9879072380952381,0.4863435831528058,0.4180614285714285,-0.05406961558441559,0.17330469999999998,1.8645512380952378,0.512155055387244,1.4758074285714287,-0.04983023376623371,0.2913055,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.09090909090909091,0.0,0.1,0.1,0.0,0.0
